goodGeneSymbol,wrongGeneSymbol
ELOB,TCEB2
AIRIM,C1orf109
ESS2,DGCR14
IFTAP,C11orf74
PIERCE1,C9orf116
FBXL9P,LRRC29
NEMP2,TMEM194B
MESD,MESDC2
H2AC11,HIST1H2AG
TRAPPC14,C7orf43
ATP5MG,ATP5L
TENT5A,FAM46A
SLF1,ANKRD32
LHFPL7,TMEM211
CIMAP1B,ODF3B
SPATA46,C1orf111
ODAD4,TTC25
ARMH4,C14orf37
PABIR3,FAM122C
MTARC2,MARC2
H4C3,HIST1H4C
CIAO3,NARFL
ODAPH,C4orf26
DYNC2I2,WDR34
CFAP144,FAM183A
TEPSIN,ENTHD2
PLAAT1,HRASLS
SEPTIN6,SEPT6
MRTFA,MKL1
VPS26C,DSCR3
VPS35L,C16orf62
WASHC1,WASH1
C22orf46P,C22orf46
H2AC17,HIST1H2AM
MARCHF9,MARCH9
CARNMT1,C9orf41
BLTP2,KIAA0100
ZNG1B,CBWD2
H3-5,H3F3C
SEM1,C7orf76
H4C9,HIST1H4I
LINC02901,C6orf99
ITPRID2,SSFA2
SRPRA,SRPR
DNAAF8,C16orf71
OR8G2P,OR8G2
C19orf48P,C19orf48
MIDEAS,ELMSAN1
SELENOF,SEP15
SLC22A20P,SLC22A20
CFAP206,C6orf165
H4C12,HIST1H4K
RUBCN,KIAA0226
ATP5MC2,ATP5G2
AJM1,C9orf172
RAB6D,WTH3DI
NARS1,NARS
CRYBG1,AIM1
MOSMO,C16orf52
KMT5A,SETD8
LINC01619,C12orf79
ATP5F1A,ATP5A1
SPACDR,C7orf61
EPOP,C17orf96
MARCHF5,MARCH5
ELOC,TCEB1
ZUP1,ZUFSP
INTS14,VWA9
ARMH2,C6orf229
HDGFL2,HDGFRP2
ARK2N,C18orf25
SPACA9,C9orf9
INTS11,CPSF3L
UFD1,UFD1L
CFAP161,C15orf26
JCAD,KIAA1462
FLACC1,ALS2CR12
CNMD,LECT1
ATP5MF-PTCD1,ATP5J2-PTCD1
NSD2,WHSC1
BBLN,C9orf16
MINDY4,FAM188B
TBXT,T
CGB3,CGB
SEPTIN11,SEPT11
RTL8C,FAM127A
PRP4K,PRPF4B
CABCOCO1,C10orf107
LINC02913,C9orf106
TLE5,AES
FNDC10,C1orf233
AFG2B,SPATA5L1
NOPCHAP1,C12orf45
PCNX4,PCNXL4
POLR1H,ZNRD1
LINC02877,C3orf79
USF3,KIAA2018
BMERB1,C16orf45
METTL26,C16orf13
MINDY2,FAM63B
ELOA3P,TCEB3C
GARIN5B,FAM71E2
CPAP,CENPJ
GBA1,GBA
CALHM5,FAM26E
SEPTIN4,C17orf47
CFAP90,C5orf49
TMT1A,METTL7A
CFAP107,C1orf158
SEPTIN3,SEPT3
G6PC1,G6PC
PCOTH,C1QTNF9B-AS1
PRSS45P,PRSS45
ZFHX3,C16orf47
PCNX1,PCNX
TLCD5,TMEM136
CIMIP2B,FAM166B
H2BC1,HIST1H2BA
SCP2D1-AS1,C20orf78
MICOS10,MINOS1
MATCAP1,KIAA0895L
GCNA,ACRC
POLR1F,TWISTNB
POGLUT2,KDELC1
CDIN1,C15orf41
LINC03040,C6orf223
PIP4P1,TMEM55B
TAFA1,FAM19A1
PPP4R3B,SMEK2
H2AC15,HIST1H2AK
ARLN,C4orf3
CILK1,ICK
CAVIN3,PRKCDBP
LDB3,ZASP
TMEM266,C15orf27
ATP5F1D,ATP5D
LINC02897,C1orf229
RTL3,ZCCHC5
ADPRS,ADPRHL2
PALS2,MPP6
KRBOX5,ZNF720
ABRAXAS2,FAM175B
OR2W5P,OR2W5
KIRREL1,KIRREL
SELENOI,EPT1
SQOR,SQRDL
H1-4,HIST1H1E
FBH1,FBXO18
H3C2,HIST1H3B
ZNF875,HKR1
PLPP3,PPAP2B
DENND10,FAM45A
GCN1,GCN1L1
CENPX,STRA13
LINC03124,C2orf27A
CFAP91,MAATS1
VCF2,FAM104B
H2BW1,H2BFWT
CENATAC,CCDC84
STPG3,C9orf173
H3C6,HIST1H3E
LIMS4,LIMS3L
ELOA2,TCEB3B
RO60,TROVE2
H2BC7,HIST1H2BF
CIMAP1C,ODF3L1
TXNRD3,TXNRD3NB
INSYN2A,FAM196A
DCAF1,VPRBP
LRATD2,FAM84B
BEX3,NGFRAP1
TUT4,ZCCHC11
PCNX3,PCNXL3
PALM2AKAP2,PALM2-AKAP2
PLPPR5,LPPR5
PITX1-AS1,C5orf66
TIMM29,C19orf52
PRUNE1,PRUNE
SPMIP3,C1orf100
CSKMT,METTL12
TOP6BL,C11orf80
PPP4R3A,SMEK1
PRXL2A,FAM213A
DIPK2B,CXorf36
H3C15,HIST2H3A
CIMIP4,TEX33
CIMIP6,C2orf73
SEPTIN8,SEPT8
XKRYP7,XKRY2
H2BC26,HIST3H2BB
H2AC7,HIST1H2AD
TAFA2,FAM19A2
