Essential,NonEssential,NonTargeting,BrunelloKinome,GuideID,GeneSymbol,BrunelloWholeGenome,GuideID.1,GeneSymbol.1
AARS,ABCG8,NonTargetingControlGuideForHuman,,AAK1-1,AAK1,,A1BG-1,A1BG
ABCE1,ACCSL,,,AAK1-2,AAK1,,A1BG-2,A1BG
ABCF1,ACTL7A,,,AAK1-3,AAK1,,A1BG-3,A1BG
ACTB,ACTL7B,,,AAK1-4,AAK1,,A1BG-4,A1BG
ACTL6A,ACTL9,,,AAK1-5,AAK1,,A1CF-1,A1CF
ACTR10,ACTRT1,,,AAK1-6,AAK1,,A1CF-2,A1CF
ACTR2,ADAD1,,,AAK1-7,AAK1,,A1CF-3,A1CF
ADSL,ADAM18,,,AAK1-8,AAK1,,A1CF-4,A1CF
ADSS,ADAM2,,,AATK-1,AATK,,A2M-1,A2M
AHCY,ADAM20,,,AATK-2,AATK,,A2M-2,A2M
ALG1,ADAM30,,,AATK-3,AATK,,A2M-3,A2M
ALG14,ADH7,,,AATK-4,AATK,,A2M-4,A2M
ALG2,AFM,,,AATK-5,AATK,,A2ML1-1,A2ML1
ANAPC2,AICDA,,,AATK-6,AATK,,A2ML1-2,A2ML1
ANAPC4,AIPL1,,,AATK-7,AATK,,A2ML1-3,A2ML1
ANAPC5,ALPI,,,AATK-8,AATK,,A2ML1-4,A2ML1
AQR,ALPPL2,,,ABCC1-1,ABCC1,,A3GALT2-1,A3GALT2
ARCN1,ALX3,,,ABCC1-2,ABCC1,,A3GALT2-2,A3GALT2
ARIH1,AMELX,,,ABCC1-3,ABCC1,,A3GALT2-3,A3GALT2
ARL2,ANKRD30A,,,ABCC1-4,ABCC1,,A3GALT2-4,A3GALT2
ATP2A2,ANKRD60,,,ABCC1-5,ABCC1,,A4GALT-1,A4GALT
ATP5A1,ANTXRL,,,ABCC1-6,ABCC1,,A4GALT-2,A4GALT
ATP5B,APOA4,,,ABCC1-7,ABCC1,,A4GALT-3,A4GALT
ATP5C1,APOBEC1,,,ABCC1-8,ABCC1,,A4GALT-4,A4GALT
ATP5D,APOF,,,ABL1-1,ABL1,,A4GNT-1,A4GNT
ATP5J2-PTCD1,AQP12A,,,ABL1-2,ABL1,,A4GNT-2,A4GNT
ATP5L,AQP8,,,ABL1-3,ABL1,,A4GNT-3,A4GNT
ATP5O,ARGFX,,,ABL1-4,ABL1,,A4GNT-4,A4GNT
ATP6V0B,ART1,,,ABL1-5,ABL1,,AAAS-1,AAAS
ATP6V0C,ASB17,,,ABL1-6,ABL1,,AAAS-2,AAAS
ATP6V1A,ASIC5,,,ABL1-7,ABL1,,AAAS-3,AAAS
ATP6V1D,ASZ1,,,ABL1-8,ABL1,,AAAS-4,AAAS
ATP6V1E1,ATOH1,,,ABL2-1,ABL2,,AACS-1,AACS
