Essential,Non_Essential
AARS,ABCG8
ABCE1,ACCSL
ABCF1,ACTL7A
ACTB,ACTL7B
ACTL6A,ACTL9
ACTR10,ACTRT1
ACTR2,ADAD1
ADSL,ADAM18
ADSS,ADAM2
AHCY,ADAM20
ALG1,ADAM30
ALG14,ADH7
ALG2,AFM
ANAPC2,AICDA
ANAPC4,AIPL1
ANAPC5,ALPI
AQR,ALPPL2
ARCN1,ALX3
ARIH1,AMELX
ARL2,ANKRD30A
ATP2A2,ANKRD60
ATP5A1,ANTXRL
ATP5B,APOA4
ATP5C1,APOBEC1
ATP5D,APOF
ATP5J2-PTCD1,AQP12A
ATP5L,AQP8
ATP5O,ARGFX
ATP6V0B,ART1
ATP6V0C,ASB17
ATP6V1A,ASIC5
ATP6V1D,ASZ1
ATP6V1E1,ATOH1
ATR,ATP4B
AURKB,ATP6V1G3
BANF1,AWAT1
BIRC5,AWAT2
BUB1B,B3GNT6
BUB3,BANF2
BUD31,BARHL1
BYSL,BEND2
C10orf2,BHLHE23
C1orf109,BIRC8
C21orf59,BMP10
C3orf17,BMP15
C9orf114,BPIFA1
CCDC84,BPIFA3
CCDC94,BPIFB3
CCNA2,BPIFB6
CCNH,BPIFC
CCNK,BPY2
CCT2,BRDT
CCT3,BSND
CCT4,C10orf113
CCT5,C10orf120
CCT6A,C10orf53
CCT7,C11orf40
CCT8,C12orf40
CDC123,C14orf183
CDC16,C15orf55
CDC20,C16orf78
CDC27,C17orf102
CDC37,C17orf78
CDC5L,C18orf26
CDC73,C19orf45
CDK1,C1orf146
CDK7,C20orf173
CDK9,C20orf203
CDT1,C20orf79
CEBPZ,C2orf57
CENPA,C2orf61
CENPC,C2orf71
CFL1,C2orf83
CHAF1A,C3orf30
CHAF1B,C4orf40
CHEK1,C5orf20
CHERP,C6orf10
CHMP2A,C7orf66
CHMP6,C7orf71
CIAO1,C8A
CINP,C8B
CIRH1A,C8orf17
CKAP5,C8orf86
CLNS1A,C9orf53
CLP1,CABP2
CLTC,CABP5
CMPK1,CABS1
CMTR1,CACNG2
CNOT3,CACNG3
COA5,CACNG5
COPA,CATSPER4
COPB1,CCDC155
COPB2,CCDC172
COPS3,CCDC83
COPS6,CCKAR
COPZ1,CCL1
COQ4,CCT8L2
COX10,CD200R1L
COX11,CDCP2
COX15,CDX2
COX4I1,CDX4
COX5B,CDY1
COX6B1,CDY1B
CPSF1,CDY2A
CPSF2,CDY2B
CPSF3,CEACAM7
CPSF4,CELA2A
CRNKL1,CELA3A
CSE1L,CELA3B
CTDP1,CER1
CTPS1,CETN1
CTR9,CFHR2
CYCS,CFHR5
DAD1,CHAT
DBR1,CHRNA6
DCTN5,CHRNB3
DDB1,CLCA1
DDOST,CLDN17
DDX10,CLEC2A
DDX18,CLEC3A
DDX20,CLEC6A
DDX21,CLRN1
DDX27,CNBD1
DDX41,CNGA2
DDX47,CNGB3
DDX49,CNPY1
DDX55,CNTNAP5
DDX56,COL20A1
DGCR8,COX7B2
DHODH,CPXCR1
DHPS,CRNN
DHX15,CRX
DHX33,CRYGB
DHX37,CSH1
DHX8,CSHL1
DHX9,CSN2
DIEXF,CSN3
DIMT1,CST11
DIS3,CST4
DKC1,CST5
DLST,CST8
DMAP1,CST9
DNAJA3,CST9L
DNAJC9,CSTL1
DNM2,CT45A2
DNMT1,CT45A4
DOLK,CT45A5
DONSON,CT47A11
DPAGT1,CTCFL
DTL,CTRB1
DTYMK,CXorf1
DYNC1I2,CXorf66
ECD,CYLC2
EEF2,CYP11B1
EFTUD2,CYP11B2
EIF2B1,CYP26C1
EIF2B3,CYP2A13
EIF2B5,CYP2C19
EIF2S1,CYP4A22
EIF2S2,CYP4F8
EIF2S3,CYP7A1
EIF3A,DAZ1
EIF3B,DAZ2
EIF3C,DAZ3
EIF3D,DAZ4
EIF3G,DAZL
EIF3I,DCAF4L2
