GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
CITED2,x,4,4,0,0.274,0.297,0.315,4.670823876438541e-10,1e-05,0.00477875,1.0,1.0,1.0
CCND2,x,4,4,0,0.287,0.3105,0.34,2.4534064212927e-09,1e-05,0.00477875,1.0,1.0,1.0
HSPE1,x,4,4,0,0.295,0.329,0.388,3.92545027406833e-08,1e-05,0.00477875,1.0,1.0,1.0
RPL8,p,4,4,0,0.299,0.3245,0.394,5.373270557094001e-08,1e-05,0.00477875,1.0,1.0,1.0
HSPA5,x,4,4,0,0.27,0.34600000000000003,0.402,8.189712783255581e-08,1e-05,0.00477875,1.0,1.0,1.0
HIST2H3A,x,4,4,0,0.319,0.3695,0.4320000000000001,2.97808957242499e-07,1e-05,0.00477875,1.0,1.0,1.0
EFTUD2,p,4,4,0,0.297,0.4195,0.436,3.55590053032002e-07,1e-05,0.00477875,1.0,1.0,1.0
PPIL1,x,4,4,0,0.3670000000000001,0.401,0.444,4.7504308765681897e-07,1e-05,0.00477875,1.0,1.0,1.0
RAD51,x,4,4,0,0.171,0.396,0.444,4.7597844171818284e-07,1e-05,0.00477875,1.0,1.0,1.0
EIF2S3,p,4,3,0,0.293,0.318,0.7170000000000001,6.220828513982579e-07,1e-05,0.00477875,1.0,1.0,1.0
RPS6,p,4,4,0,0.293,0.4015,0.458,8.070195402014321e-07,1e-05,0.00477875,1.0,1.0,1.0
MED13L,x,4,4,0,0.41,0.4270000000000001,0.459,8.210178183188641e-07,1e-05,0.00477875,1.0,1.0,1.0
PRPF8,p,4,4,0,0.303,0.3855,0.461,8.907611282000161e-07,1e-05,0.00477875,1.0,1.0,1.0
PHF5A,p,4,4,0,0.29600000000000004,0.332,0.542,1.01478001675972e-06,2e-05,0.00477875,1.0,1.0,1.0
UBE2H,x,4,4,0,0.342,0.431,0.468,1.14478583665429e-06,2e-05,0.00477875,1.0,1.0,1.0
DUX4,n,4,3,0,0.181,0.3235,0.607,1.29757215024943e-06,2e-05,0.00477875,1.0,1.0,1.0
SNRNP40,x,4,4,0,0.365,0.417,0.472,1.33047427707112e-06,2e-05,0.00477875,1.0,1.0,1.0
RPL19,p,4,4,0,0.35700000000000004,0.4425,0.473,1.34877978842314e-06,2e-05,0.00477875,1.0,1.0,1.0
NLE1,p,4,4,0,0.255,0.413,0.473,1.37762967264051e-06,2e-05,0.00477875,1.0,1.0,1.0
MED14,x,4,4,0,0.292,0.3835,0.475,1.4713204602147801e-06,2e-05,0.00477875,1.0,1.0,1.0
RUVBL1,x,4,4,0,0.422,0.4445,0.477,1.58580726106878e-06,2e-05,0.00477875,1.0,1.0,1.0
DNAJC9,p,4,4,0,0.386,0.4355,0.478,1.59970253196011e-06,2e-05,0.00477875,1.0,1.0,1.0
