GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
RPS8,p,4,4,0,0.03,0.0445,0.073,7.33506004051832e-10,1e-05,0.003018157894736842,1.0,1.0,1.0
FAU,p,4,4,0,0.039,0.077,0.09,3.4156260363588104e-09,1e-05,0.003018157894736842,1.0,1.0,1.0
VCP,p,4,4,0,0.02,0.0845,0.104,8.89313429994832e-09,1e-05,0.003018157894736842,1.0,1.0,1.0
MARS2,p,4,4,0,0.042,0.0735,0.12,2.17117536619832e-08,1e-05,0.003018157894736842,1.0,1.0,1.0
RPL6,p,4,4,0,0.043,0.095,0.128,3.36732815261796e-08,1e-05,0.003018157894736842,1.0,1.0,1.0
HSPA5,x,4,4,0,0.047,0.094,0.14400000000000002,6.87659796653867e-08,1e-05,0.003018157894736842,1.0,1.0,1.0
RPL27,p,4,4,0,0.066,0.126,0.147,7.86943210638581e-08,1e-05,0.003018157894736842,1.0,1.0,1.0
PHB2,p,4,4,0,0.037000000000000005,0.1135,0.159,1.15636867437363e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
RPL8,p,4,4,0,0.048,0.062,0.233,2.13853423602732e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
GART,p,4,4,0,0.102,0.1275,0.181,2.22580674607622e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
U2AF1,p,4,4,0,0.026,0.156,0.188,2.6682969498527303e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
SMU1,p,4,4,0,0.035,0.1025,0.189,2.7171432239682196e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
SPDYE2B,x,4,4,0,0.049,0.091,0.193,3.1530275310675104e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
RPS15,x,4,3,0,0.036000000000000004,0.061,1.062,3.25686567564871e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
SF3B3,p,4,4,0,0.068,0.1195,0.195,3.2785753234046e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
RPL11,p,4,4,0,0.06,0.0995,0.196,3.3571219729692804e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
PCBP1,x,4,4,0,0.057,0.1335,0.197,3.45175989896892e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
PRPF19,p,4,4,0,0.08,0.0995,0.201,3.72428895123723e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
ATP6V0C,p,4,4,0,0.018000000000000002,0.075,0.205,4.02914193030556e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
SRSF7,p,4,4,0,0.08900000000000001,0.17,0.205,4.0539811597142297e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
COX17,x,4,4,0,0.065,0.142,0.207,4.20543699579729e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
RPL37,x,4,4,0,0.049,0.1415,0.207,4.21397378472057e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
PRIM1,p,4,4,0,0.085,0.1125,0.207,4.23108634661544e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
HTRA2,x,4,4,0,0.07200000000000001,0.1565,0.208,4.27409577343354e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
WASHC1,x,4,4,0,0.053,0.0695,0.209,4.4494207022924603e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
CCT4,p,4,4,0,0.081,0.1585,0.211,4.6945987985158396e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
PET117,x,4,4,0,0.086,0.138,0.211,4.70386978813731e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
PPP6C,x,4,4,0,0.133,0.166,0.212,4.78792792911085e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
HSPD1,p,4,4,0,0.057,0.103,0.212,4.85408139384371e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
SMC2,p,4,4,0,0.052000000000000005,0.1285,0.215,5.16526830210397e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
KPNB1,p,4,4,0,0.058,0.138,0.221,6.042185548864939e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
ARMC7,x,4,4,0,0.045,0.1265,0.222,6.075838856523029e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
TRRAP,p,4,4,0,0.071,0.1165,0.223,6.30380069142435e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
PSMB4,p,4,4,0,0.032,0.077,0.225,6.73022612009012e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
EEF1A1,x,4,4,0,0.07,0.0875,0.225,6.74237179915034e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
GAPDH,p,4,4,0,0.036000000000000004,0.1215,0.227,7.00124961584198e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
RPL10,x,4,4,0,0.067,0.207,0.228,7.089176320822109e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
PSMA6,p,4,4,0,0.028,0.1115,0.229,7.19067521792679e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
DHFR,x,4,4,0,0.097,0.136,0.232,7.687758062748791e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
BATF3,x,4,4,0,0.075,0.134,0.237,8.670384854502691e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
RPS20,p,4,4,0,0.044,0.099,0.237,8.744002653078569e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
LSM2,p,4,4,0,0.037000000000000005,0.141,0.239,9.043171733330481e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
STAG1,x,4,4,0,0.047,0.15,0.239,9.073505196802579e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
CAPZB,x,4,4,0,0.09,0.1395,0.24,9.180273599112629e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
RPL23A,x,4,4,0,0.023,0.057,0.284,9.60078136813559e-07,1e-05,0.003018157894736842,1.0,1.0,1.0
RPS24,x,4,4,0,0.061,0.099,0.244,1.0052297933820802e-06,1e-05,0.003018157894736842,1.0,1.0,1.0
PRMT5,p,4,4,0,0.049,0.1415,0.247,1.0741689699109801e-06,1e-05,0.003018157894736842,1.0,1.0,1.0
TUBA1B,x,4,4,0,0.15,0.208,0.249,1.12146481273289e-06,1e-05,0.003018157894736842,1.0,1.0,1.0
TCP1,p,4,4,0,0.07,0.095,0.249,1.12502925907074e-06,1e-05,0.003018157894736842,1.0,1.0,1.0
GPN2,x,4,4,0,0.132,0.207,0.25,1.12681466520109e-06,1e-05,0.003018157894736842,1.0,1.0,1.0
SRSF1,p,4,4,0,0.018000000000000002,0.0725,0.344,1.15039914787311e-06,1e-05,0.003018157894736842,1.0,1.0,1.0
DHX15,p,4,4,0,0.116,0.157,0.255,1.2359714535160101e-06,1e-05,0.003018157894736842,1.0,1.0,1.0
RPL31,x,4,4,0,0.071,0.1215,0.257,1.30037993996336e-06,2e-05,0.003018157894736842,1.0,1.0,1.0
PKMYT1,p,4,4,0,0.07400000000000001,0.187,0.257,1.30635754332595e-06,2e-05,0.003018157894736842,1.0,1.0,1.0
COA6,x,4,4,0,0.146,0.1905,0.258,1.3203854180947e-06,2e-05,0.003018157894736842,1.0,1.0,1.0
SLC1A5,x,4,4,0,0.114,0.1435,0.259,1.34265709829818e-06,2e-05,0.003018157894736842,1.0,1.0,1.0
RPL34,x,4,4,0,0.057,0.1795,0.26,1.36727354734384e-06,2e-05,0.003018157894736842,1.0,1.0,1.0
SOD1,x,4,4,0,0.064,0.17,0.263,1.44315684798617e-06,2e-05,0.003018157894736842,1.0,1.0,1.0
TAF6L,x,4,4,0,0.166,0.166,0.264,1.46913951493783e-06,2e-05,0.003018157894736842,1.0,1.0,1.0
