GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
RPS8,p,4,4,0,0.012,0.0205,0.06,8.42944748993812e-09,1e-05,0.005166216216216216,1.0,1.0,1.0
RPS19,p,4,4,0,0.032,0.059,0.067,1.33894733177618e-08,1e-05,0.005166216216216216,1.0,1.0,1.0
RPL6,p,4,4,0,0.008,0.038,0.073,1.9749413974816202e-08,1e-05,0.005166216216216216,1.0,1.0,1.0
WASHC1,x,4,4,0,0.033,0.0685,0.083,3.79739928532689e-08,1e-05,0.005166216216216216,1.0,1.0,1.0
EEF1A1,x,4,4,0,0.028,0.0505,0.085,4.43862784643337e-08,1e-05,0.005166216216216216,1.0,1.0,1.0
PRPF8,p,4,4,0,0.01,0.0505,0.08900000000000001,5.446562191993481e-08,1e-05,0.005166216216216216,1.0,1.0,1.0
SPDYE2B,x,4,4,0,0.041,0.0685,0.092,6.469211038111122e-08,1e-05,0.005166216216216216,1.0,1.0,1.0
MARCH5,x,4,4,0,0.016,0.068,0.092,6.51121876406143e-08,1e-05,0.005166216216216216,1.0,1.0,1.0
IMP3,p,4,4,0,0.009000000000000001,0.073,0.099,9.45763541552761e-08,1e-05,0.005166216216216216,1.0,1.0,1.0
RPL8,p,4,4,0,0.02,0.0585,0.106,1.3270314780848201e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
RPS6,p,4,4,0,0.014,0.0665,0.107,1.35965073751573e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
CDK6,x,4,4,0,0.016,0.0265,0.35700000000000004,1.58087497811899e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
DHFR,x,4,4,0,0.06,0.0845,0.111,1.63012857035921e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
FBL,x,4,4,0,0.032,0.0935,0.121,2.46229388278243e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
EIF4A3,p,4,4,0,0.039,0.073,0.122,2.50250549188724e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
RPL23A,x,4,4,0,0.012,0.023,0.334,2.50929838403043e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
RPS20,p,4,4,0,0.02,0.086,0.122,2.57258309161342e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
RPL17,x,4,4,0,0.013,0.0955,0.122,2.59033007794141e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
RPL17-C18orf32,x,4,4,0,0.01,0.0835,0.125,2.97808957242499e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
POLR3H,p,4,3,0,0.023,0.028,1.244,3.17049720848801e-07,1e-05,0.005166216216216216,0.72590760701433,0.7660899999999999,1.0
RPL27,p,4,4,0,0.017,0.042,0.132,3.89053536579297e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
BCL2,x,4,4,0,0.014,0.0335,0.154,4.38284407656167e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
RPL37,x,4,4,0,0.005,0.061,0.136,4.6026407832730596e-07,1e-05,0.005166216216216216,1.0,1.0,1.0
