GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
SNRPF,p,4,4,0,0.03,0.043,0.086,2.2555285995674e-08,1e-05,0.0019505102040816326,1.0,1.0,1.0
GPN2,x,4,4,0,0.052000000000000005,0.0725,0.094,4.02726306230455e-08,1e-05,0.0019505102040816326,1.0,1.0,1.0
PSMB4,p,4,4,0,0.021,0.06,0.095,4.5502358543221513e-08,1e-05,0.0019505102040816326,1.0,1.0,1.0
RPL8,p,4,4,0,0.037000000000000005,0.042,0.107,8.80657031121597e-08,1e-05,0.0019505102040816326,1.0,1.0,1.0
FAU,p,4,4,0,0.059,0.093,0.109,1.0056354009157301e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
RRM1,p,4,4,0,0.05,0.061,0.119,1.66391249636412e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
PCNA,p,4,4,0,0.047,0.08800000000000001,0.123,2.0963969644905105e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
EEF1A1,x,4,4,0,0.038,0.08,0.13,2.7853981374095696e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
XAB2,p,4,4,0,0.067,0.08199999999999999,0.134,3.22232225290743e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
AK2,x,4,4,0,0.017,0.044,0.134,3.236317117249089e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
RFC3,x,4,4,0,0.054000000000000006,0.0955,0.135,3.31410548221055e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
MFN2,x,4,4,0,0.042,0.0735,0.136,3.38603136032864e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
CD79A,x,4,4,0,0.039,0.08,0.136,3.45175989896892e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
GINS2,p,4,4,0,0.027000000000000003,0.096,0.13699999999999998,3.55590053032002e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
PHB,p,4,4,0,0.016,0.0985,0.141,4.17141947983291e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
IARS,p,4,4,0,0.022,0.1065,0.142,4.24825097508408e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
NOL10,p,4,4,0,0.05,0.0985,0.142,4.3261389583926e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
ATP1A1,x,4,4,0,0.033,0.068,0.14400000000000002,4.52103971810731e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
GMPPB,p,4,4,0,0.03,0.044,0.404,4.63532447646429e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
DERL1,x,4,4,0,0.028,0.0995,0.146,4.9497725806872e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
RPS20,p,4,4,0,0.026,0.0835,0.146,5.12557382081095e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
SMU1,p,4,4,0,0.038,0.102,0.14800000000000002,5.59612377435612e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
PPCS,x,4,4,0,0.018000000000000002,0.1345,0.149,5.67047220575209e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
TUFM,p,4,4,0,0.045,0.0545,0.15,5.86505612869694e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
AURKB,p,4,4,0,0.06,0.107,0.15,5.93101674910297e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
RPS24,x,4,4,0,0.02,0.1255,0.15,5.98640761085619e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
IMP4,p,4,4,0,0.049,0.0795,0.15,6.042185548864939e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
DDX46,x,4,4,0,0.047,0.122,0.152,6.49074041762868e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
LSM7,p,4,4,0,0.065,0.1175,0.152,6.52624928628193e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
RPL31,x,4,4,0,0.087,0.1455,0.153,6.66974368050905e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
SNRNP35,p,4,4,0,0.066,0.133,0.153,6.69388752436366e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
NOL9,p,4,4,0,0.091,0.1335,0.156,7.11444965163924e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
BUD31,p,4,4,0,0.048,0.091,0.157,7.293260137253891e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
ARMC7,x,4,4,0,0.025,0.0695,0.158,7.687758062748791e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
PTPMT1,x,4,4,0,0.078,0.1145,0.159,7.79560747170712e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
CTR9,p,4,4,0,0.114,0.1575,0.159,7.82274620139715e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
POLD1,x,4,4,0,0.026,0.102,0.16,7.918290086430491e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
RPS10,x,4,4,0,0.022,0.038,0.382,8.131484786656309e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
PRMT5,p,4,4,0,0.023,0.052000000000000005,0.281,8.185019174266441e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
PRPF19,p,4,4,0,0.064,0.095,0.161,8.210178183188641e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
SDHA,x,4,4,0,0.047,0.113,0.161,8.28084855859383e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
PFDN2,p,4,4,0,0.048,0.092,0.162,8.611826111732741e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
NHLRC2,x,4,4,0,0.085,0.112,0.162,8.670384854502691e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
DHX35,x,4,4,0,0.07,0.122,0.16399999999999998,8.98273303611973e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
POLE,x,4,4,0,0.021,0.044,0.465,9.189161295342399e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
DNA2,x,4,4,0,0.075,0.1265,0.166,9.38105449504988e-07,1e-05,0.0019505102040816326,1.0,1.0,1.0
TUBB,p,4,4,0,0.08199999999999999,0.0975,0.17,1.06215521493613e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
NMNAT1,x,4,4,0,0.049,0.0915,0.17,1.0672915596266501e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
MCM7,p,4,4,0,0.03,0.0875,0.17,1.07589350333066e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
AP2M1,x,4,4,0,0.108,0.1255,0.17,1.0828124103296e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
DCTN5,p,4,4,0,0.107,0.1315,0.17,1.0845473387387e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
ETF1,x,4,4,0,0.032,0.069,0.171,1.10025567464619e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
EIF3C,p,4,4,0,0.053,0.061,0.172,1.14478583665429e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
AP2S1,x,4,4,0,0.116,0.149,0.173,1.16480148705611e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
SUPT16H,x,4,4,0,0.054000000000000006,0.056,0.247,1.1775269735217698e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
RPL23A,x,4,4,0,0.016,0.0525,0.452,1.22494708571871e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
RPL19,p,4,4,0,0.12,0.15,0.174,1.23405781508463e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
CIAO3,p,4,4,0,0.102,0.129,0.17800000000000002,1.3203854180947e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
LSM8,x,4,4,0,0.027000000000000003,0.1315,0.17800000000000002,1.32845189586387e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
CARD11,x,4,4,0,0.043,0.113,0.179,1.37555375713391e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
GFPT1,x,4,4,0,0.097,0.155,0.179,1.38387151882447e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
CDC7,x,4,4,0,0.053,0.08900000000000001,0.179,1.3943217010171499e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
ANAPC11,x,4,4,0,0.092,0.097,0.18,1.40693991658242e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
POU2AF1,x,4,4,0,0.08199999999999999,0.112,0.18,1.41116495840474e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
TELO2,p,4,4,0,0.139,0.1605,0.182,1.4647848991392299e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
VARS,p,4,4,0,0.047,0.145,0.183,1.4910584131893e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
TOP2A,p,4,4,0,0.071,0.0995,0.184,1.55146511660203e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
RUVBL2,p,4,4,0,0.141,0.14800000000000002,0.187,1.67295510518304e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
GNL3,p,4,4,0,0.086,0.147,0.187,1.6922605540135599e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
EIF4A3,p,4,4,0,0.087,0.092,0.188,1.72890807352509e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
IARS2,x,4,4,0,0.038,0.0555,0.473,1.7769102097527698e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
MYD88,x,4,4,0,0.086,0.12,0.19,1.81928968324015e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
RER1,x,4,4,0,0.027000000000000003,0.106,0.19,1.82441263588446e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
CDK1,p,4,4,0,0.021,0.0705,0.19,1.8321173415647701e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
CD79B,x,4,4,0,0.05,0.0855,0.19,1.8346909915164002e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
PPAT,p,4,4,0,0.018000000000000002,0.14300000000000002,0.65,1.84866539577125e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
IPO13,p,4,4,0,0.044,0.097,0.191,1.8683957924207e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
DNAJC11,x,4,4,0,0.08199999999999999,0.12,0.191,1.89991811943088e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
KIF11,p,4,4,0,0.034,0.117,0.192,1.93719641153327e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
NLE1,p,4,4,0,0.038,0.14,0.193,1.98046893876645e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
CCT4,p,4,4,0,0.026,0.114,0.193,1.98592853287964e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
CDC37,p,4,4,0,0.103,0.1315,0.194,2.07482672248017e-06,1e-05,0.0019505102040816326,1.0,1.0,1.0
