GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
RPS18,p,4,4,0,0.006999999999999999,0.009000000000000001,0.014,6.4509157552693e-09,1e-05,0.0019115000000000002,1.0,1.0,1.0
RPS3A,x,4,4,0,0.005,0.0065,0.023,8.60551334478631e-09,1e-05,0.0019115000000000002,1.0,1.0,1.0
UROD,p,4,4,0,0.006999999999999999,0.015,0.015,1.1220617917337701e-08,1e-05,0.0019115000000000002,1.0,1.0,1.0
RPL17-C18orf32,x,4,4,0,0.009000000000000001,0.013,0.017,2.42154193410483e-08,1e-05,0.0019115000000000002,1.0,1.0,1.0
VCP,p,4,4,0,0.01,0.0115,0.018000000000000002,2.5545491071659102e-08,1e-05,0.0019115000000000002,1.0,1.0,1.0
HSPD1,p,4,4,0,0.005,0.0155,0.018000000000000002,3.14208659315511e-08,1e-05,0.0019115000000000002,1.0,1.0,1.0
RPS17,x,4,4,0,0.009000000000000001,0.0115,0.018000000000000002,3.25324555976128e-08,1e-05,0.0019115000000000002,1.0,1.0,1.0
PSMB7,p,4,4,0,0.006999999999999999,0.0155,0.019,4.40712040855484e-08,1e-05,0.0019115000000000002,1.0,1.0,1.0
CDK1,p,4,4,0,0.013,0.017,0.021,6.72433439581662e-08,1e-05,0.0019115000000000002,1.0,1.0,1.0
PHB,p,4,4,0,0.006999999999999999,0.0105,0.022,8.96608149518003e-08,1e-05,0.0019115000000000002,1.0,1.0,1.0
COPA,p,4,4,0,0.006,0.009000000000000001,0.051,1.3426561482907902e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
HSPE1,x,4,4,0,0.012,0.0225,0.025,1.48442356567925e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
NDUFV1,x,4,4,0,0.008,0.013,0.026,1.63432317371258e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
SNRPF,p,4,4,0,0.008,0.0125,0.026,1.7330529675736802e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
RPL27,p,4,4,0,0.017,0.021,0.027000000000000003,2.0067778683750802e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
RPS6,p,4,4,0,0.013,0.02,0.029,2.4395345309962e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
CHAF1B,p,4,4,0,0.015,0.0175,0.029,2.632096723937361e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
DYNLRB1,x,4,4,0,0.015,0.027000000000000003,0.029,2.723295824334561e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
ATP5F1A,p,4,4,0,0.011,0.02,0.029,2.73563236552691e-07,1e-05,0.0019115000000000002,1.0,1.0,1.0
