GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
HSPA5,x,4,4,0,0.045,0.0675,0.106,4.9640587764912e-13,1e-05,0.0008168803418803419,1.0,1.0,1.0
VCP,p,4,4,0,0.113,0.11699999999999999,0.13,1.03810836250795e-11,1e-05,0.0008168803418803419,1.0,1.0,1.0
IRF4,x,4,4,0,0.057999999999999996,0.121,0.153,8.196098566819541e-11,1e-05,0.0008168803418803419,1.0,1.0,1.0
SMU1,p,4,4,0,0.051,0.075,0.22,1.3455891160388902e-10,1e-05,0.0008168803418803419,1.0,1.0,1.0
POLR2L,p,4,4,0,0.132,0.1425,0.159,1.39222694577964e-10,1e-05,0.0008168803418803419,1.0,1.0,1.0
KPNB1,p,4,4,0,0.11900000000000001,0.161,0.165,2.40648326508007e-10,1e-05,0.0008168803418803419,1.0,1.0,1.0
UBL5,p,4,4,0,0.087,0.115,0.19399999999999998,1.30015550768965e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
HMGCS1,x,4,4,0,0.087,0.113,0.19899999999999998,1.6831010637421898e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
CDK1,p,4,4,0,0.156,0.161,0.20199999999999999,2.14499334632586e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
PSMA7,p,4,4,0,0.13,0.1905,0.20199999999999999,2.19425434452783e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
PSMB4,p,4,4,0,0.055999999999999994,0.098,0.21,3.03986899108942e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
SNRPF,p,4,4,0,0.057999999999999996,0.13,0.212,3.4387631326044203e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
MAT2A,x,4,4,0,0.068,0.0985,0.218,3.92957682514359e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
HSPA9,p,4,4,0,0.10800000000000001,0.1655,0.21899999999999997,4.297873729086671e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
DHFR,x,4,4,0,0.131,0.17,0.22,4.7241491517348494e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
U2AF1,p,4,4,0,0.129,0.1565,0.22399999999999998,5.94592106361871e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
COPA,p,4,4,0,0.092,0.159,0.23600000000000002,9.524215844336491e-09,1e-05,0.0008168803418803419,1.0,1.0,1.0
PSMA5,p,4,4,0,0.08900000000000001,0.196,0.24,1.15623382326481e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
SNRPD2,p,4,4,0,0.149,0.187,0.24100000000000002,1.1911804991626e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
EFTUD2,p,4,4,0,0.175,0.196,0.24100000000000002,1.20894795643123e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
SFPQ,x,4,3,0,0.059000000000000004,0.11599999999999999,0.741,1.2415304500055001e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
RPS18,p,4,4,0,0.17600000000000002,0.2065,0.244,1.35834033906937e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
ETF1,x,4,4,0,0.115,0.20600000000000002,0.245,1.4653516833980199e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
LOC100507462,x,4,3,0,0.068,0.1205,1.127,1.97862652014412e-08,1e-05,0.0008168803418803419,0.781846940951001,0.77447,1.0
FAU,p,4,4,0,0.158,0.18100000000000002,0.256,1.99220854200036e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
PRIM1,p,4,4,0,0.166,0.24,0.258,2.08921056051057e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
XPO1,p,4,3,0,0.09699999999999999,0.12300000000000001,0.92,2.11656057671578e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
HSPE1,x,4,4,0,0.129,0.2465,0.259,2.2555285995674e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
GRPEL1,p,4,4,0,0.24100000000000002,0.2495,0.26,2.29379758448814e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
PRPF19,p,4,4,0,0.153,0.2135,0.264,2.6390772274601002e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
MYC,p,4,4,0,0.102,0.1635,0.268,3.03380087115231e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
RPL6,p,4,4,0,0.153,0.2005,0.268,3.08157634440681e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
DNA2,x,4,4,0,0.17300000000000001,0.2195,0.26899999999999996,3.11777655956182e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
RPS8,p,4,4,0,0.083,0.222,0.27399999999999997,3.7833673399152204e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
PSMA4,p,4,4,0,0.133,0.17,0.276,4.02726306230455e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
NCBP1,p,4,4,0,0.162,0.2595,0.278,4.360174138199549e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
RPL17,x,4,4,0,0.135,0.2295,0.282,4.84689490752306e-08,1e-05,0.0008168803418803419,1.0,1.0,1.0
