GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
YARS2,p,4,4,0,0.05,0.079,0.10300000000000001,3.87568372712439e-09,1e-05,0.007646000000000002,1.0,1.0,1.0
GLRX5,x,4,4,0,0.023,0.044000000000000004,0.46399999999999997,2.16392353588714e-08,1e-05,0.007646000000000002,1.0,1.0,1.0
PRMT5,p,4,4,0,0.07400000000000001,0.149,0.158,5.82433032494721e-08,1e-05,0.007646000000000002,1.0,1.0,1.0
CD19,x,4,4,0,0.096,0.1535,0.161,6.4901894109752e-08,1e-05,0.007646000000000002,1.0,1.0,1.0
FAAP100,x,4,4,0,0.057999999999999996,0.11800000000000001,0.168,8.468271218178659e-08,1e-05,0.007646000000000002,1.0,1.0,1.0
SNRPD3,p,4,4,0,0.105,0.135,0.17,9.100654476338839e-08,1e-05,0.007646000000000002,1.0,1.0,1.0
KPNB1,p,4,4,0,0.059000000000000004,0.1565,0.171,9.127749818901679e-08,1e-05,0.007646000000000002,1.0,1.0,1.0
GPN2,x,4,4,0,0.102,0.1405,0.172,9.56955887759714e-08,1e-05,0.007646000000000002,1.0,1.0,1.0
COX17,x,4,4,0,0.026000000000000002,0.12300000000000001,0.182,1.34507993004038e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
BUB3,p,4,4,0,0.06,0.1625,0.184,1.43048522330739e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
PSMA7,p,4,4,0,0.11900000000000001,0.1615,0.193,1.90588879866015e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
N6AMT1,x,4,4,0,0.08900000000000001,0.1395,0.19399999999999998,1.94864936478713e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
PSMB4,p,4,4,0,0.067,0.14800000000000002,0.195,2.0512203570489602e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
GART,p,4,4,0,0.092,0.1175,0.19699999999999998,2.2047092005926599e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
RUVBL1,x,4,4,0,0.11,0.17,0.214,3.6623800410829294e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
TPI1,x,4,4,0,0.019,0.1255,0.22,4.222523563936151e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
DHX35,x,4,4,0,0.09,0.1905,0.228,5.175227842818849e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
NOL10,p,4,4,0,0.085,0.1855,0.233,5.756346263377028e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
NDUFB7,x,4,4,0,0.133,0.185,0.23399999999999999,5.821389078838039e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
RPS8,p,4,4,0,0.061,0.098,0.23399999999999999,5.86505612869694e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
PPP4C,p,4,4,0,0.129,0.2185,0.237,6.24621896581855e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
PET117,x,4,4,0,0.094,0.1805,0.24100000000000002,6.80334696453213e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
RANGAP1,p,4,4,0,0.055999999999999994,0.168,0.242,7.00124961584198e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
RPL19,p,4,4,0,0.057999999999999996,0.193,0.243,7.1018045542934e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
HSPA5,x,4,4,0,0.043,0.0875,0.4320000000000001,7.1091762749929e-07,1e-05,0.007646000000000002,1.0,1.0,1.0
ARPC4,x,4,4,0,0.125,0.151,0.25,8.452318598344709e-07,2e-05,0.011584848484848486,1.0,1.0,1.0
RPL8,p,4,4,0,0.10099999999999999,0.166,0.251,8.78839775401206e-07,2e-05,0.011584848484848486,1.0,1.0,1.0
SPDYE6,x,4,4,0,0.031,0.0825,0.35200000000000004,9.78088162934189e-07,2e-05,0.011584848484848486,1.0,1.0,1.0
HSCB,x,4,3,0,0.053,0.0815,1.013,1.03346458259097e-06,2e-05,0.011584848484848486,1.0,1.0,1.0
GAPDH,p,4,4,0,0.177,0.2085,0.264,1.13218363564243e-06,2.9999999999999997e-05,0.011584848484848486,1.0,1.0,1.0
