GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
PPP6C,x,4,4,0,0.026,0.036000000000000004,0.059,2.71538065746031e-09,1e-05,0.0028962121212121215,1.0,1.0,1.0
TAZ,x,4,4,0,0.015,0.022,0.324,3.0808738067791106e-09,1e-05,0.0028962121212121215,1.0,1.0,1.0
U2AF1,p,4,4,0,0.017,0.024,0.35100000000000003,5.86509862511381e-09,1e-05,0.0028962121212121215,1.0,1.0,1.0
TOP2A,p,4,4,0,0.012,0.046,0.075,1.17944482013351e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
HMGCS1,x,4,4,0,0.029,0.064,0.08,1.6828981346073e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
SPIB,x,4,4,0,0.058,0.0625,0.085,2.29379758448814e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
GART,p,4,4,0,0.027000000000000003,0.08800000000000001,0.091,3.21587022052404e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
MARS,p,4,4,0,0.023,0.028,0.183,5.5329071077105096e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
CCND2,x,4,4,0,0.052000000000000005,0.0735,0.103,6.060222928999928e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
PIK3CD,x,4,4,0,0.048,0.066,0.105,6.78927719466012e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
UBL5,p,4,4,0,0.015,0.049,0.105,6.87659796653867e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
NOP56,p,4,4,0,0.042,0.0775,0.107,7.535118975980492e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
FBXW11,x,4,4,0,0.077,0.094,0.109,7.86943210638581e-08,1e-05,0.0028962121212121215,1.0,1.0,1.0
ACSL4,x,4,4,0,0.077,0.0885,0.115,1.06830591062042e-07,1e-05,0.0028962121212121215,1.0,1.0,1.0
FAU,p,4,4,0,0.062,0.075,0.123,1.5238745350938402e-07,1e-05,0.0028962121212121215,1.0,1.0,1.0
RAD9A,x,4,4,0,0.029,0.0665,0.13,2.0067778683750802e-07,1e-05,0.0028962121212121215,1.0,1.0,1.0
POLR2L,p,4,4,0,0.014,0.0325,0.392,2.31898356463123e-07,1e-05,0.0028962121212121215,1.0,1.0,1.0
KIF11,p,4,4,0,0.075,0.0825,0.134,2.34456269343683e-07,1e-05,0.0028962121212121215,1.0,1.0,1.0
DDX10,p,4,4,0,0.06,0.105,0.139,2.74801077276471e-07,1e-05,0.0028962121212121215,1.0,1.0,1.0
