GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
SNRPD3,p,4,4,0,0.019,0.031,0.036000000000000004,7.3906266800693585e-09,1e-05,0.0026734265734265736,1.0,1.0,1.0
HSPA5,x,4,4,0,0.006999999999999999,0.023,0.039,1.16200416177533e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
SCAP,x,4,4,0,0.006,0.013000000000000001,0.044000000000000004,1.89862424055691e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
HSPE1,x,4,4,0,0.026000000000000002,0.032,0.046,2.16195105478897e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
WASHC1,x,4,4,0,0.015,0.040999999999999995,0.046,2.22714264659508e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
GPN2,x,4,4,0,0.023,0.027999999999999997,0.053,3.6179994731365604e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
ARPC4,x,4,4,0,0.011000000000000001,0.038,0.053,3.713790025980991e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
TAZ,x,4,4,0,0.017,0.0375,0.054000000000000006,4.02726306230455e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
RPL17-C18orf32,x,4,4,0,0.01,0.0525,0.055999999999999994,4.4862053887235303e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
PSMA6,p,4,4,0,0.027999999999999997,0.038,0.057999999999999996,5.0525703301052695e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
RPS8,p,4,4,0,0.017,0.027000000000000003,0.059000000000000004,5.0874756949115895e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
SYS1,p,4,4,0,0.03,0.038,0.062,5.9610802677603e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
RPS18,p,4,3,0,0.01,0.013000000000000001,0.63,6.37500389435221e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
RPL8,p,4,4,0,0.022000000000000002,0.0475,0.066,7.280009294100668e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
RFC3,x,4,4,0,0.017,0.0375,0.066,7.41834289720246e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
PSMB4,p,4,4,0,0.009000000000000001,0.036000000000000004,0.067,7.67706394338634e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
EIF4A3,p,4,4,0,0.023,0.0425,0.067,7.91808378292446e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
NSF,p,4,4,0,0.008,0.0425,0.068,8.13981368830809e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
LTO1,p,4,4,0,0.022000000000000002,0.061,0.069,8.701418411122742e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
CCT5,p,4,4,0,0.022000000000000002,0.025,0.07,9.45763541552761e-08,1e-05,0.0026734265734265736,1.0,1.0,1.0
RPSA,x,4,3,1,0.013999999999999999,0.0155,2.121,1.07320978219653e-07,1e-05,0.0026734265734265736,0.0699381447008759,0.16079000000000002,0.90168247320925
UBL5,p,4,4,0,0.015,0.044000000000000004,0.081,1.4922517547311596e-07,1e-05,0.0026734265734265736,1.0,1.0,1.0
