GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
HSPA5,x,4,4,0,0.019,0.05,0.073,1.66011811592765e-08,1e-05,0.0012575657894736845,1.0,1.0,1.0
SNRPD2,p,4,4,0,0.032,0.064,0.086,4.221583693619751e-08,1e-05,0.0012575657894736845,1.0,1.0,1.0
EIF4A3,p,4,4,0,0.036000000000000004,0.066,0.09,5.1225616042622e-08,1e-05,0.0012575657894736845,1.0,1.0,1.0
COX17,x,4,4,0,0.02,0.055999999999999994,0.099,8.780193481175018e-08,1e-05,0.0012575657894736845,1.0,1.0,1.0
GAPDH,p,4,4,0,0.048,0.062,0.10400000000000001,1.1726495739328101e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
PSMB4,p,4,4,0,0.013000000000000001,0.0355,0.152,1.20291198736546e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
RPS24,x,4,4,0,0.054000000000000006,0.0715,0.10800000000000001,1.43048522330739e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
RPS18,p,4,4,0,0.026000000000000002,0.0535,0.111,1.58451889916387e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
DNAJC11,x,4,4,0,0.043,0.0755,0.11199999999999999,1.61759319571954e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
RPP21,p,4,4,0,0.012,0.0715,0.113,1.74184459467361e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
ISY1,x,4,4,0,0.034,0.0375,0.193,1.80618563630226e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
SYS1,p,4,4,0,0.06,0.064,0.11599999999999999,1.97271390680316e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
RPS8,p,4,4,0,0.047,0.055,0.11900000000000001,2.25239118426148e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
BUD31,p,4,4,0,0.033,0.1015,0.121,2.4169333210723e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
MARS2,p,4,4,0,0.034,0.107,0.12300000000000001,2.69263701537168e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
VARS,p,4,4,0,0.019,0.034,0.174,2.70974019543607e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
U2AF1,p,4,4,0,0.028999999999999998,0.0845,0.125,2.9257575862066996e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
IPO13,p,4,4,0,0.019,0.0355,0.127,3.06462245254721e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
PSMA5,p,4,4,0,0.043,0.0685,0.127,3.13930381897075e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
ARPC4,x,4,4,0,0.076,0.0815,0.131,3.54838475903767e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
RRM1,p,4,4,0,0.07400000000000001,0.11699999999999999,0.131,3.55590053032002e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
INTS1,p,4,4,0,0.095,0.0995,0.131,3.6164573480374215e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
FAU,p,4,4,0,0.013999999999999999,0.087,0.135,4.1207806797059705e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
RPL19,p,4,4,0,0.057999999999999996,0.102,0.138,4.52103971810731e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
TUBB,p,4,4,0,0.021,0.109,0.139,4.57531872693139e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
PRIM1,p,4,4,0,0.039,0.079,0.142,5.05665952243022e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
PHB,p,4,4,0,0.035,0.085,0.14300000000000002,5.10581259533764e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
MRPS34,p,4,4,0,0.047,0.1065,0.14400000000000002,5.326356234089911e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
SNRPG,x,4,4,0,0.105,0.1305,0.146,5.6385184620645e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
TAF6,p,4,4,0,0.040999999999999995,0.0935,0.146,5.71328822873316e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
YARS2,p,4,4,0,0.037000000000000005,0.109,0.14800000000000002,6.0198278094621e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
IMP4,p,4,4,0,0.027999999999999997,0.1015,0.151,6.79111897936752e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
AK2,x,4,4,0,0.02,0.0875,0.153,7.127111627866421e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
GFPT1,x,4,4,0,0.028999999999999998,0.138,0.155,7.660971474740509e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
ATP6V0B,p,4,4,0,0.024,0.1085,0.155,7.71461483391255e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
EIF6,p,4,4,0,0.03,0.066,0.156,7.89090303005936e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
DHFR,x,4,4,0,0.045,0.057,0.157,8.02855182306559e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
PRMT1,p,4,4,0,0.032,0.126,0.158,8.09804764672589e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
BIRC5,p,4,4,0,0.057,0.132,0.158,8.139961111858552e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
ZNF626,x,4,4,0,0.07400000000000001,0.1325,0.159,8.43792861463287e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
PPP6C,x,4,4,0,0.066,0.121,0.159,8.48115377421218e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
POLR2L,p,4,4,0,0.04,0.0945,0.161,9.088700513043541e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
NAA50,p,4,4,0,0.057999999999999996,0.131,0.161,9.1496727137232e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
CDK1,p,4,4,0,0.06,0.1375,0.162,9.33443099694911e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
PHB2,p,4,4,0,0.065,0.1165,0.16399999999999998,9.76035882363146e-07,1e-05,0.0012575657894736845,1.0,1.0,1.0
TEDC1,x,4,4,0,0.083,0.109,0.166,1.0217289121119e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
AP2S1,x,4,4,0,0.08800000000000001,0.136,0.168,1.08802344921855e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
BANF1,p,4,2,1,0.013000000000000001,0.539,1.406,1.0889904698847798e-06,1e-05,0.0012575657894736845,0.353084621598851,0.49641,1.0
DNM2,p,4,4,0,0.037000000000000005,0.0505,0.29,1.09088926111081e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
SNRPF,p,4,4,0,0.027000000000000003,0.044000000000000004,0.207,1.13032854886234e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
SNRPD3,p,4,4,0,0.10099999999999999,0.1255,0.171,1.1574929512558398e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
ARMC7,x,4,4,0,0.044000000000000004,0.126,0.172,1.18507846529387e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
RAD9A,x,4,4,0,0.085,0.1695,0.175,1.2688450989641301e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
DUT,x,4,3,0,0.018000000000000002,0.0455,0.6729999999999999,1.28304505704793e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
VPS25,p,4,4,0,0.023,0.08800000000000001,0.177,1.3183745516509e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
ACSL4,x,4,4,0,0.11599999999999999,0.133,0.179,1.40905124979456e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
RPSA,x,4,3,0,0.025,0.052000000000000005,0.9440000000000001,1.4725735908139299e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
BCL6,x,4,4,0,0.025,0.113,0.182,1.49768164970157e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
COPA,p,4,4,0,0.040999999999999995,0.1035,0.182,1.50210938252802e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
CENPM,x,4,4,0,0.031,0.1185,0.184,1.55828848230745e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
GLRX5,x,4,4,0,0.037000000000000005,0.092,0.187,1.6514344333489401e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
EED,x,4,4,0,0.02,0.14800000000000002,0.188,1.68741860989303e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
EIF3A,p,4,4,0,0.114,0.14300000000000002,0.188,1.6995429988157e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
GMPS,p,4,4,0,0.076,0.1045,0.188,1.70197569550844e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
NSA2,p,4,4,0,0.09300000000000001,0.11599999999999999,0.18899999999999997,1.73137222146643e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
UBE2T,x,4,4,0,0.044000000000000004,0.0545,0.26899999999999996,1.7323507089962101e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
POLR3B,x,4,4,0,0.052000000000000005,0.0865,0.192,1.8321173415647701e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
PRPF8,p,4,4,0,0.037000000000000005,0.055,0.192,1.8346909915164002e-06,1e-05,0.0012575657894736845,1.0,1.0,1.0
