GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
AURKB,p,8,8,0,0.052000000000000005,0.1415,0.21,6.952576181247941e-12,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
GUK1,p,8,8,0,0.038,0.0795,0.212,7.410201423880701e-12,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
CAD,x,8,8,0,0.039,0.096,0.223,1.2125622377920401e-11,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
PGK1,p,8,8,0,0.096,0.17,0.293,8.934972649460601e-11,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
TRRAP,p,8,8,0,0.079,0.127,0.348,2.98610873214085e-10,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
DOLK,p,8,8,0,0.042,0.1635,0.35200000000000004,3.17004958950081e-10,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
SMG1,x,8,8,0,0.098,0.2275,0.354,3.43068592428224e-10,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
RIOK1,x,8,8,0,0.02,0.151,0.368,3.93213496383841e-10,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
LRPPRC,x,8,8,0,0.099,0.2355,0.387,5.63026527742176e-10,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
EIF2AK4,x,8,8,0,0.147,0.2215,0.391,6.17189559582279e-10,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
AK2,x,8,8,0,0.035,0.1015,0.698,1.19013878214975e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
MTOR,x,8,8,0,0.14800000000000002,0.2215,0.439,1.5643953234118695e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
BUB1B,p,8,8,0,0.078,0.2745,0.451,1.64235591266623e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
BRD4,x,8,8,0,0.079,0.3765,0.451,1.6690874774108498e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
CDK9,p,8,8,0,0.042,0.0995,0.465,2.0529007130435998e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
IPPK,x,8,8,0,0.061,0.246,0.468,2.15171810773717e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
MVK,p,8,8,0,0.06,0.2445,0.48,2.58985817919152e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
PLK1,p,8,8,0,0.028,0.1935,0.496,3.54648155193848e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
DTYMK,p,8,8,0,0.041,0.117,0.8,3.92466958705698e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
TRIB1,x,8,8,0,0.307,0.393,0.5,3.927699999849312e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
CKS1B,x,8,7,0,0.06,0.152,1.133,4.96057980367767e-09,5.23560209424084e-06,5.1948051948051897e-05,0.8420276979695781,0.9169005235602092,1.0
ATR,p,8,8,0,0.119,0.36,0.524,5.07720304973206e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
PRPF4B,x,8,8,0,0.165,0.337,0.529,5.44463090994739e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
NOL9,p,8,7,0,0.039,0.1125,0.937,5.56073840951809e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
CHEK1,p,8,8,0,0.08,0.16899999999999998,0.5529999999999999,5.9498165954079885e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
CDK6,x,8,7,1,0.054000000000000006,0.1925,1.198,6.798245045320439e-09,5.23560209424084e-06,5.1948051948051897e-05,0.58447316201198,0.784,1.0
STK11,x,8,8,0,0.18,0.338,0.5429999999999999,7.65307007483441e-09,5.23560209424084e-06,5.1948051948051897e-05,1.0,1.0,1.0
