"GeneSymbol","Guide","Type","BaseMeanA","BaseMeanB","FoldChange","pvalue","padj"
"BRDT","BRDT-1","n",504,528,1.044,0.602897289914815,0.773847324197844
"BRDT","BRDT-2","n",685,748,1.082,0.309564449900426,0.533779279372497
"BRDT","BRDT-3","n",597,589,0.986,0.851755957675688,0.924857120970664
"BRDT","BRDT-4","n",342,403,1.171,0.0897822349278394,0.239367849373578
"BRDT","BRDT-5","n",274,331,1.196,0.0991821457996616,0.25511029541505
"BRDT","BRDT-6","n",355,401,1.124,0.206543475256262,0.412156873750355
"BRDT","BRDT-7","n",446,429,0.961,0.669337693910815,0.816869585414003
"BRDT","BRDT-8","n",562,628,1.111,0.180719661417627,0.376742197390778
"DGKK","DGKK-1","n",413,444,1.074,0.411593275900005,0.624350585558512
"DGKK","DGKK-2","n",263,249,0.948,0.636265669772496,0.794972802988473
"DGKK","DGKK-3","n",690,748,1.082,0.257710919626363,0.478121574569962
"DGKK","DGKK-4","n",487,519,1.065,0.428543163261529,0.641964360448543
"DGKK","DGKK-5","n",293,284,0.97,0.778277144624968,0.880970034016648
"DGKK","DGKK-6","n",553,604,1.087,0.301854325327147,0.525920281088935
"DGKK","DGKK-7","n",461,559,1.208,0.0162226779087551,0.0664765480488222
"DGKK","DGKK-8","n",313,329,1.052,0.626486128153409,0.788701286335988
"GK2","GK2-1","n",369,418,1.13,0.175837304685112,0.370307123339461
"GK2","GK2-2","n",358,374,1.042,0.686796411608053,0.827652177521628
"GK2","GK2-3","n",715,722,1.009,0.902619270472248,0.95417033679693
"GK2","GK2-4","n",490,538,1.093,0.261998912008288,0.482469946601193
"GK2","GK2-5","n",729,765,1.049,0.466183959527788,0.673140072530994
"GK2","GK2-6","n",355,350,0.986,0.884670275731471,0.944013483081879
"GK2","GK2-7","n",563,518,0.923,0.31987106507126,0.544140413408855
"GK2","GK2-8","n",587,666,1.132,0.0824592332719945,0.224437915626934
"GUCY2F","GUCY2F-1","n",676,732,1.083,0.249311776863659,0.467324357571641
"GUCY2F","GUCY2F-2","n",523,570,1.087,0.28521505344941,0.508031636979655
"GUCY2F","GUCY2F-3","n",517,459,0.89,0.156004346098135,0.342359732293185
"GUCY2F","GUCY2F-4","n",345,316,0.915,0.377833178065364,0.598538894505271
"GUCY2F","GUCY2F-5","n",663,666,1.002,0.983487044887087,0.993545022979628
"GUCY2F","GUCY2F-6","n",381,393,1.029,0.766563795967889,0.874370324139161
