partner_a,partner_b
APP,FPR2
APP,SORL1
APP,TNFRSF21
APP,CD74
ADORA1,ENTPD1
ADORA2A,ENTPD1
ADORA2B,ENTPD1
ADORA3,ENTPD1
ADM,RAMP3
AGRN,NCAM1
AGRN,PTPRS
AGRP,MC3R
AGRP,MC4R
LRPAP1,SORT1
NPPA,NPR1
ANGPT1,TEK
ANGPT2,TEK
ANGPT4,TEK
AGT,AGTR1
AGT,AGTR2
ANXA1,FPR2
ANXA1,FPR3
APLN,APLNR
APOA1,ABCA1
APOB,APOBR
AREG,EGFR
ASIP,MC1R
BAG6,NCR3
BDNF,NTRK2
BDNF,SORT1
BDNF,NGFR
BST2,LILRA4
BTC,ERBB4
BTC,EGFR
BTC,ERBB3
BTLA,TNFRSF14
CD160,TNFRSF14
CDH1,KLRG1
CDH2,CDH2
CDH3,CDH3
CDH5,CDH5
CDH6,CDH6
CDH7,CDH7
CADM1,CADM1
CADM1,NECTIN3
CADM3,CADM1
CADM3,CADM4
CADM3,NECTIN3
CALCA,CALCR
CCK,CCKAR
CCK,CCKBR
CCL1,CCR8
CCL11,ACKR2
CCL11,CCR3
CCL11,DPP4
CCL13,ACKR2
CCL13,CCR2
CCL13,CCR3
CCL14,ACKR2
CCL14,CCR1
CCL14,CCR3
CCL15,CCR1
CCL15,CCR3
CCL16,CCR1
CCL16,CCR2
CCL16,CCR8
CCL16,HRH4
CCL17,CCR4
CCL18,CCR8
CCL19,ACKR4
CCL19,CCRL2
CCL19,CCR7
CCL2,ACKR2
CCL2,ACKR1
CCL2,CCR2
CCL20,CCR6
CCL21,ACKR4
CCL21,CCR7
CCL22,CCR4
CCL22,DPP4
CCL23,FPR2
CCL23,CCR1
CCL24,CCR3
CCL25,ACKR4
CCL25,CCR9
CCL26,CCR1
CCL26,CCR2
CCL26,CCR3
CCL27,CCR10
CCL28,CCR10
CCL3,ACKR2
CCL3,CCR1
CCL3,CCR3
CCL3,CCR5
CCL3L1,CCR1
CCL3L1,CCR3
CCL4,ACKR2
CCL4,CCR5
CCL5,ACKR2
CCL5,ACKR1
CCL5,CCR1
CCL5,CCR3
CCL5,CCR4
CCL5,CCR5
CCL5,GPR75
CCL7,ACKR2
CCL7,CCR1
CCL7,CCR2
CCL7,CCR3
CCL7,CCR5
CCL8,ACKR2
CCL8,CCR1
CCL8,CCR2
CCL8,CCR3
CCL8,CCR5
ALCAM,CD6
CD1D,LILRB2
CD226,NECTIN2
CD24,SELP
CD276,TREML2
CD34,SELL
CD34,SELP
CD40LG,CD40
CD44,SELE
CD48,CD244
CD52,SIGLEC10
CD70,CD27
CD80,CD28
CD80,CTLA4
CD86,CD28
CD86,CTLA4
CD99,PILRA
CEACAM1,CD209
CEACAM1,CEACAM6
CEACAM1,CEACAM8
CEACAM1,SELE
CEACAM5,CD8A
CEACAM5,CD1D
CEACAM5,CEACAM1
CEACAM5,CEACAM6
CEACAM6,CEACAM6
CEACAM8,CEACAM6
CLEC2A,KLRF2
CLEC2B,KLRF1
CNTN1,NOTCH1
CNTN1,NOTCH2
C3,C3AR1
C3,C5AR2
C4A,C5AR2
C5,C5AR1
C5,C5AR2
POMC,MC2R
POMC,MC3R
POMC,MC4R
POMC,MC5R
POMC,MC1R
POMC,OPRD1
POMC,OPRK1
POMC,OPRM1
CORT,SSTR1
CORT,SSTR2
CORT,SSTR3
CORT,SSTR4
CORT,SSTR5
CRH,CRHR1
CRH,CRHR2
CRTAM,CADM1
CSF1,CSF1R
CSF3,CSF3R
CXCL2,CXCR2
CXCL2,DPP4
CXCL3,CXCR2
CXCL5,CXCR1
CXCL5,CXCR2
CXCL6,CXCR1
CXCL6,CXCR2
PPBP,CXCR1
PPBP,CXCR2
CXCL9,CXCR3
CXCL9,DPP4
CXCL10,CXCR3
CXCL10,DPP4
CXCL11,ACKR3
CXCL11,CXCR3
CXCL11,DPP4
CXCL13,ACKR4
CXCL13,CXCR5
CXCL14,CXCR4
CXCL16,CXCR6
CD55,ADGRE5
DKK1,LRP5
DKK1,LRP6
DKK2,LRP6
DLK1,NOTCH2
DLK1,NOTCH3
DLK1,NOTCH4
DLK1,NOTCH1
DLL1,NOTCH1
DLL1,NOTCH2
DLL1,NOTCH3
DLL1,NOTCH4
DLL3,NOTCH3
DLL3,NOTCH1
DLL3,NOTCH2
DLL3,NOTCH4
DLL4,NOTCH3
DLL4,NOTCH1
DLL4,NOTCH2
DLL4,NOTCH4
DSC1,DSG2
DSC2,DSG2
DSG1,DSC1
DSG1,DSC2
DSG1,DSC3
DSG2,DSC3
EFNA1,EPHA1
EFNA1,EPHA2
EFNA1,EPHA3
EFNA1,EPHA4
EFNA1,EPHA5
EFNA1,EPHA7
EFNA1,EPHA8
EFNA2,EPHA1
EFNA2,EPHA2
EFNA2,EPHA3
EFNA2,EPHA4
EFNA2,EPHA5
EFNA2,EPHA7
EFNA2,EPHA8
EFNA3,EPHA4
EFNA3,EPHA5
EFNA3,EPHA7
EFNA3,EPHA1
EFNA3,EPHA2
EFNA3,EPHA3
EFNA3,EPHA8
EFNA4,EPHA4
EFNA4,EPHA5
EFNA4,EPHA7
EFNA4,EPHA1
EFNA4,EPHA2
EFNA4,EPHA3
EFNA4,EPHA8
EFNA5,EPHA4
EFNA5,EPHA5
EFNA5,EPHA7
EFNA5,EPHA1
EFNA5,EPHA2
EFNA5,EPHA3
EFNA5,EPHA8
EFNA5,EPHB2
EFNB1,EPHA4
EFNB1,EPHB1
EFNB1,EPHB2
EFNB1,EPHB3
EFNB1,EPHB4
EFNB1,EPHB6
EFNB2,EPHA4
EFNB2,EPHB1
EFNB2,EPHB3
EFNB2,EPHB4
EFNB2,EPHB2
EFNB2,EPHB6
EFNB3,EPHA4
EFNB3,EPHB1
EFNB3,EPHB2
EFNB3,EPHB3
EFNB3,EPHB4
EFNB3,EPHB6
EGF,EGFR
APELA,APLNR
EPGN,EGFR
EPO,EPOR
EREG,EGFR
EREG,ERBB4
ESAM,ESAM
FCER2,CR2
FGF1,FGFR1
FGF1,FGFR2
FGF1,FGFR3
FGF1,FGFR4
FGF10,FGFR2
FGF17,FGFR3
FGF2,FGFR1
FGF2,FGFR2
FGF2,FGFR3
FGF2,FGFR4
FGF20,FGFR3
FGF22,FGFR2
FGF3,FGFR2
FGF4,FGFR1
FGF5,FGFR1
FGF6,FGFR1
FGF7,FGFR2
FGF8,FGFR3
FGF9,FGFR3
FGL1,LAG3
FLT3LG,FLT3
FTH1,SCARA5
FTL,SCARA5
GAS6,MERTK
GAS6,TYRO3
GAS6,AXL
GAST,CCKBR
GHRL,GHRHR
GIP,GIPR
GCG,GLP1R
GCG,GLP2R
GCG,GCGR
GNRH1,GNRHR
GNRH1,GNRHR2
GNRH2,GNRHR
GNRH2,GNRHR2
C10orf99,GPR15
C10orf99,SUSD2
CXCL1,ACKR1
CXCL1,CXCR1
CXCL1,CXCR2
GRP,GRPR
HBEGF,EGFR
HBEGF,ERBB4
HBEGF,ERBB2
HEBP1,FPR3
HFE,TFRC
HGF,MET
MST1,MST1R
HLA-A,KIR3DL1
HLA-B,KIR3DL2
