"GeneSymbol","Type","TotalGuides","HitsDown","HitsUp","MinFoldChange","MedianFoldChange","MaxFoldChange","rhoDepleted","pvalueDepleted","fdrDepleted","rhoEnriched","pvalueEnriched","fdrEnriched"
"CKS2","x",8,0,0,0.723,0.7655,1.368,2.16233384600711e-05,9.96068152031455e-05,0.076,0.378060789065061,0.517808650065531,1
"PAK2","x",8,0,0,0.532,0.76,1.355,0.000122718398059797,0.000623853211009174,0.1985,0.403999472940157,0.542343381389253,1
"CDK3","x",8,0,0,0.665,0.774,1.01,0.000309132256891164,0.00116382699868938,0.1985,1,1,1
"ETNK1","x",8,0,0,0.571,0.8325,1.102,0.000325733750938119,0.00152555701179554,0.1985,1,1,1
"PRKCB","x",8,0,0,0.637,0.757,0.968,0.000395329709993175,0.00173525557011796,0.1985,1,1,1
"ACTR2","p",8,0,0,0.546,0.803,0.989,0.0004121073728974,0.00179816513761468,0.1985,1,1,1
"IPPK","x",8,0,0,0.578,0.7515,1.247,0.000441917477594905,0.00189252948885976,0.1985,0.692062891695116,0.7156749672346,1
"BRDT","n",8,0,0,0.616,0.7695,1.525,0.00048188495153785,0.00208125819134993,0.1985,0.0913004953266184,0.199344692005242,0.981290322580645
"IKBKE","x",8,0,0,0.616,0.77,1.142,0.000606460105436794,0.00255307994757536,0.2112,1,1,1
"PKM","x",8,0,0,0.608,0.84,1.395,0.000670958413301057,0.00276802096985583,0.2112,0.328691848706673,0.469771952817824,0.998428969359331
"PKMYT1","p",8,0,0,0.584,1.0105,1.132,0.000778004597128055,0.00321363040629096,0.222909090909091,1,1,1
"RPS6KA5","x",8,0,0,0.541,0.81,1.204,0.00123897969001244,0.00461336828309305,0.293333333333333,0.785751587182664,0.786930537352556,1
"KIT","x",8,0,0,0.453,0.949,1.226,0.00129084290533286,0.00589777195281782,0.346153846153846,0.738450228740652,0.747722149410223,1
"PMVK","x",8,0,0,0.589,0.792,1.044,0.00149905722342013,0.00661598951507208,0.3552,1,1,1
"CRKL","x",8,0,0,0.571,0.8075,1.043,0.0016301330491159,0.0069829619921363,0.3552,1,1,1
"RFK","p",8,0,0,0.458,1.0545,1.187,0.00258022758436415,0.0108361730013106,0.51675,1,1,1
"CAMKK1","x",8,0,0,0.627,0.9265,1.692,0.00315958378809357,0.0127129750982962,0.570588235294118,0.0293229465260931,0.0848335517693316,0.924828571428572
"MAP3K1","x",8,0,0,0.588,0.8555,1.218,0.00341784293881185,0.0134836173001311,0.571555555555555,0.758887082760337,0.764104849279161,1
"BRD2","x",8,0,0,0.498,0.8575,1.257,0.00386815544930544,0.0157064220183486,0.6264,0.668253828331174,0.70056618610747,1
"PRKDC","x",8,0,0,0.651,0.8565,1.413,0.00412609723507076,0.0164193971166448,0.6264,0.303687734015393,0.446673656618611,0.998428969359331
"EPHA3","x",8,0,0,0.603,0.832,1.147,0.00462611372923414,0.017651376146789,0.634363636363636,1,1,1
"CLK3","x",8,0,0,0.637,0.912,1.204,0.00485790149084918,0.0182909567496723,0.634363636363636,0.786086841355378,0.787224115334207,1
"AGK","x",8,0,0,0.528,1.007,1.544,0.00515462791122847,0.0205871559633028,0.68295652173913,0.0651825101593566,0.156823066841415,0.924828571428572
"TK1","x",8,0,0,0.608,0.824,1.301,0.00550209070385855,0.0215307994757536,0.6845,0.299248534670874,0.442348623853211,0.998428969359331
"CDC42BPB","x",8,0,0,0.529,1.031,1.409,0.00643964638006577,0.0250484927916121,0.76448,0.25496078982114,0.401226736566186,0.998428969359331
"BAZ1B","x",8,0,0,0.689,0.843,1.186,0.00824673840383547,0.0310353866317169,0.869866666666667,1,1,1
"TGFBR2","x",8,0,0,0.674,0.833,1.134,0.00884689699338447,0.0325766710353866,0.869866666666667,1,1,1
"KDR","x",8,0,0,0.663,0.881,1.097,0.00894713149824215,0.0327549148099607,0.869866666666667,1,1,1
"SRMS","x",8,0,0,0.533,1.0315,1.354,0.00900532697252203,0.0339554390563565,0.869866666666667,0.407276443634156,0.545420707732634,1
"PI4K2A","x",8,0,0,0.611,1.0045,1.644,0.00911011530656572,0.0342018348623853,0.869866666666667,0.05051014865704,0.132849279161206,0.924828571428572
"NMRK2","x",8,0,0,0.61,0.9995,1.23,0.0120155812342482,0.0415779816513761,0.961921146953405,0.729120083924412,0.740754914809961,1
"STK19","x",8,0,0,0.719,0.8735,1.175,0.0128038059581613,0.0430249017038008,0.961921146953405,1,1,1
"CSNK2B","x",8,0,0,0.549,0.9755,1.419,0.0128429780959575,0.0440786369593709,0.961921146953405,0.292315749194426,0.435994757536042,0.998428969359331
"RPS6KL1","x",8,0,0,0.556,0.992,1.388,0.014119302151164,0.0474600262123198,0.961921146953405,0.343135308923934,0.483879423328965,1
"STK40","x",8,0,0,0.751,0.852,1.083,0.0147625530250157,0.0487444298820446,0.961921146953405,1,1,1
"TRRAP","p",8,0,0,0.696,0.851,1.252,0.0153937600820153,0.0497929226736566,0.961921146953405,0.682725083473366,0.709614678899083,1
"EPHA10","x",8,0,0,0.56,0.892,1.257,0.015394182050978,0.0507470511140236,0.961921146953405,0.399189056764637,0.537771952817824,1
"TESK1","x",8,0,0,0.646,0.909,1.118,0.0158590152337605,0.0516697247706422,0.961921146953405,1,1,1
"CDK9","p",8,0,0,0.56,0.829,1.345,0.0166676191962454,0.0542018348623853,0.961921146953405,0.430566711697727,0.567260812581914,1
"PRKCA","x",8,0,0,0.562,1.0045,1.321,0.0179396149866793,0.057478374836173,0.961921146953405,0.412754520631737,0.550317169069463,1
"AAK1","x",8,0,0,0.691,0.892,1.473,0.0182979070485027,0.0581022280471822,0.961921146953405,0.165367278752886,0.312597640891219,0.998428969359331
"MAST2","x",8,0,0,0.757,0.923,1.295,0.0185314198399067,0.0585006553079948,0.961921146953405,0.571136333843125,0.647790301441678,1
"STK25","x",8,0,0,0.745,0.8675,1.146,0.0187497235778461,0.0588414154652687,0.961921146953405,1,1,1
"NEK9","x",8,0,0,0.63,0.8995,1.235,0.018935838994542,0.0591664482306684,0.961921146953405,0.715224982279206,0.730605504587156,1
"DGKB","x",8,0,0,0.562,0.946,1.116,0.0192101708208612,0.0606657929226737,0.961921146953405,1,1,1
"MASTL","p",8,0,0,0.662,0.8595,1.043,0.0199168706982664,0.0619187418086501,0.961921146953405,1,1,1
"CAMK2G","x",8,0,0,0.563,1.1095,1.54,0.0204792880962413,0.0639580602883355,0.961921146953405,0.0313340472395224,0.0892581913499345,0.924828571428572
"DYRK4","x",8,0,0,0.653,0.9125,1.176,0.0210427059219125,0.0650799475753604,0.961921146953405,1,1,1
"BRD3","x",8,0,0,0.667,0.9965,1.221,0.0215008160015433,0.0658715596330275,0.961921146953405,0.752489758045788,0.758883355176933,1
"MPP2","x",8,0,0,0.563,1.018,1.157,0.0217469682091398,0.0672503276539974,0.961921146953405,1,1,1
"MVK","p",8,0,0,0.637,0.9725,1.452,0.0230351457791198,0.07043250327654,0.961921146953405,0.236050068118418,0.383847968545216,0.998428969359331
"PIP5K1C","x",8,0,0,0.684,0.94,1.173,0.0237558092634592,0.0717640891218873,0.961921146953405,1,1,1
"ITK","x",8,0,0,0.635,0.957,1.619,0.0242217672870092,0.0725714285714286,0.961921146953405,0.0640028758080525,0.155334207077326,0.924828571428572
"CKMT1A","x",8,0,0,0.565,0.957,1.056,0.024278022527124,0.073740498034076,0.961921146953405,1,1,1
"GRK6","x",8,0,0,0.698,0.8585,1.121,0.0244267244139044,0.0738925294888598,0.961921146953405,1,1,1
"MAPK8","x",8,0,0,0.68,0.9295,1.253,0.0251345293603537,0.0751245085190039,0.961921146953405,0.678442872410589,0.706941022280472,1
"CSK","x",8,0,0,0.566,0.8535,1.016,0.0255413995192045,0.0766500655307995,0.961921146953405,1,1,1
"NTRK1","x",8,0,0,0.567,0.9935,1.38,0.0268033449227944,0.079826998689384,0.961921146953405,0.355549529177622,0.496005242463958,1
"CSNK1A1L","x",8,0,0,0.752,0.8765,1.267,0.0279775317200245,0.0819344692005242,0.961921146953405,0.646505336125647,0.687145478374836,1
"CAD","x",8,0,0,0.569,0.947,1.133,0.0280638601285729,0.0829305373525557,0.961921146953405,1,1,1
"CDK10","x",8,0,0,0.633,1.123,1.423,0.0288237663292684,0.0842778505897772,0.961921146953405,0.283680439053719,0.427937090432503,0.998428969359331
"NOL9","p",8,0,0,0.57,0.8715,1.187,0.0293229465260931,0.0860235910878113,0.961921146953405,1,1,1
"PKN2","x",8,0,0,0.627,0.8875,1.128,0.0293456941968068,0.0862332896461337,0.961921146953405,1,1,1
"PINK1","x",8,0,0,0.571,1.018,1.28,0.0305806055037831,0.0889174311926605,0.961921146953405,0.321776407651308,0.463423328964613,0.998428969359331
"DOLK","p",8,0,0,0.658,1.087,1.285,0.0311454185776954,0.090086500655308,0.961921146953405,0.364210786706869,0.503963302752294,1
"ITPKC","x",8,0,0,0.723,0.9125,1.045,0.0320711942256571,0.0926867627785059,0.961921146953405,1,1,1
"PKD2","x",8,0,0,0.71,0.9985,1.275,0.0321831381335684,0.0902175622542595,0.961921146953405,0.359098221254651,0.493095674967235,1
"EPHA2","x",8,0,0,0.681,1.064,1.288,0.0329897842704792,0.0942332896461337,0.961921146953405,0.262047295507669,0.40781127129751,0.998428969359331
"NME1","x",16,0,0,0.631,1.11,1.369,0.033164849717226,0.119176933158585,0.961921146953405,0.227211881047046,0.454149410222805,0.998428969359331
"CAMK1G","x",8,0,0,0.63,0.8575,1.254,0.0333181639378572,0.095653997378768,0.961921146953405,0.674110174611915,0.704340760157274,1
"MAP3K5","x",8,0,0,0.756,0.9065,1.204,0.0339611059134334,0.096697247706422,0.961921146953405,0.785079699326158,0.78629619921363,1
"PIK3CD","x",8,0,0,0.604,0.8495,1.215,0.0341771777365453,0.0970747051114024,0.961921146953405,0.764411147631046,0.768639580602883,1
"KHK","x",8,0,0,0.574,0.9315,1.481,0.0343450317852885,0.0982752293577982,0.961921146953405,0.195332722028902,0.34624377457405,0.998428969359331
"STK11","x",8,0,0,0.671,1.025,1.399,0.0353813493153119,0.10002621231979,0.961921146953405,0.0253964030854168,0.0745006553079948,0.924828571428572
"EIF2AK2","x",8,0,0,0.574,1.036,1.286,0.0355969949454583,0.101169069462647,0.961921146953405,0.427727056695483,0.564655307994757,1
"IP6K2","x",8,0,0,0.721,0.835,1.24,0.0358258737789568,0.10170380078637,0.961921146953405,0.420254795165305,0.55773001310616,1
"PLK3","x",8,0,0,0.659,0.855,1.08,0.0368699694367257,0.0992870249017038,0.961921146953405,1,1,1
"PRKD2","x",8,0,0,0.748,0.8575,1.219,0.0369527693251795,0.104498034076016,0.961921146953405,0.755518526631866,0.761263433813892,1
"CASK","x",8,0,0,0.712,0.8455,1.099,0.0371808288613969,0.104875491480996,0.961921146953405,1,1,1
"PRKCI","x",8,0,0,0.688,0.969,1.657,0.0380277563854739,0.106390563564875,0.961921146953405,0.0443210405158138,0.121682830930537,0.924828571428572
"CDK14","x",8,0,0,0.579,1.1415,1.394,0.0380966611638603,0.107213630406291,0.961921146953405,0.0141490320499917,0.0467260812581914,0.885614035087719
"UCK1","x",8,0,0,0.585,1.031,1.546,0.0405906564520245,0.112964613368283,0.961921146953405,0.0173650189139233,0.0544639580602883,0.885614035087719
"AMHR2","x",8,0,0,0.614,0.9845,1.173,0.0407991669110388,0.113174311926606,0.961921146953405,1,1,1
"GUK1","p",8,0,0,0.74,0.895,1.19,0.0409523539849341,0.113441677588467,0.961921146953405,0.809959644129031,0.808115334207077,1
"TBCK","x",8,0,0,0.726,1.07,1.263,0.0411353535499832,0.113803407601573,0.961921146953405,0.656264264914548,0.693106159895151,1
"AURKB","p",8,0,0,0.766,0.911,1.233,0.0424841514365213,0.117137614678899,0.961921146953405,0.720771507447068,0.734668414154653,1
"PXK","x",8,0,0,0.724,0.8635,1.274,0.0425510229568045,0.117195281782438,0.961921146953405,0.631681966697058,0.678830930537353,1
"MAPK6","x",8,0,0,0.694,0.9995,1.432,0.0425596171640464,0.117336828309305,0.961921146953405,0.264160043646532,0.409923984272608,0.998428969359331
"MYO3A","x",8,0,0,0.586,1.122,1.363,0.0430789918410963,0.119124508519004,0.961921146953405,0.061558458451137,0.150469200524246,0.924828571428572
"TRIM24","x",8,0,0,0.729,0.984,1.228,0.0438071634841799,0.120477064220183,0.961921146953405,0.732397850067656,0.742977719528178,1
"IRAK4","x",8,0,0,0.587,1.0865,1.349,0.0443210405158138,0.121997378768021,0.961921146953405,0.0848355284143885,0.18886500655308,0.948052631578947
"DCLK2","x",8,0,0,0.587,0.885,1.376,0.0455616783443337,0.125043250327654,0.961921146953405,0.306924889734868,0.449735255570118,0.998428969359331
"STK39","x",8,0,0,0.695,0.8965,1.155,0.0458640030967681,0.125509829619921,0.961921146953405,1,1,1
"RIOK1","x",8,0,0,0.7,1.0345,1.156,0.0464753260134759,0.126442988204456,0.961921146953405,1,1,1
"CIB1","x",8,0,0,0.594,1.012,1.112,0.0465105756789853,0.116802096985583,0.961921146953405,1,1,1
