"GeneSymbol","Guide","Type","BaseMeanA","BaseMeanB","FoldChange","pvalue","padj"
"BRDT","BRDT-1","n",8,4,0.704,0.177344905866242,1
"BRDT","BRDT-2","n",13,9,0.771,0.301038332584832,1
"BRDT","BRDT-3","n",10,6,0.768,0.302684379712986,1
"BRDT","BRDT-4","n",7,2,0.616,0.0609386131266011,1
"BRDT","BRDT-5","n",1,5,1.525,0.0957343177976931,1
"BRDT","BRDT-6","n",3,5,1.241,0.409115792566014,1
"BRDT","BRDT-7","n",9,5,0.738,0.245030337717501,1
"BRDT","BRDT-8","n",5,8,1.325,0.280409640647831,1
"DGKK","DGKK-1","n",8,7,0.989,0.966681090727087,1
"DGKK","DGKK-2","n",5,6,1.07,0.795042700114357,1
"DGKK","DGKK-3","n",7,8,1.069,0.79621389262904,1
"DGKK","DGKK-4","n",6,6,0.993,0.978858808085596,1
"DGKK","DGKK-5","n",5,4,0.92,0.748345140083494,1
"DGKK","DGKK-6","n",10,8,0.898,0.671883968871358,1
"DGKK","DGKK-7","n",5,8,1.254,0.384428719642111,1
"DGKK","DGKK-8","n",6,4,0.8,0.394507044341467,1
"GK2","GK2-1","n",4,6,1.218,0.451100489561106,1
"GK2","GK2-2","n",6,5,0.97,0.906223697851969,1
"GK2","GK2-3","n",11,11,0.973,0.911089119599166,1
"GK2","GK2-4","n",10,7,0.828,0.462136448082804,1
"GK2","GK2-5","n",8,10,1.136,0.612796028798016,1
"GK2","GK2-6","n",4,5,1.08,0.768258884082659,1
"GK2","GK2-7","n",6,9,1.289,0.324079097593983,1
"GK2","GK2-8","n",8,12,1.303,0.298092967457086,1
"GUCY2F","GUCY2F-1","n",12,8,0.791,0.357257141769373,1
"GUCY2F","GUCY2F-2","n",6,6,1.015,0.953246374156494,1
"GUCY2F","GUCY2F-3","n",8,6,0.928,0.773005751851223,1
"GUCY2F","GUCY2F-4","n",5,4,0.865,0.580287378951675,1
"GUCY2F","GUCY2F-5","n",10,10,0.985,0.954018990496971,1
"GUCY2F","GUCY2F-6","n",5,4,0.912,0.726669650203713,1
"GUCY2F","GUCY2F-7","n",6,9,1.304,0.308297736755584,1
"GUCY2F","GUCY2F-8","n",6,3,0.716,0.203010253836002,1
"INSRR","INSRR-1","n",7,6,0.892,0.661218568350603,1
"INSRR","INSRR-2","n",7,7,1,0.998997480624353,1
"INSRR","INSRR-3","n",5,7,1.201,0.483492301766486,1
"INSRR","INSRR-4","n",4,6,1.203,0.478480188590965,1
"INSRR","INSRR-5","n",3,4,1.199,0.475078878578249,1
"INSRR","INSRR-6","n",2,6,1.501,0.119983951930997,1
"INSRR","INSRR-7","n",8,4,0.677,0.137192894866988,1
"INSRR","INSRR-8","n",8,6,0.851,0.533812121652158,1
"PGK2","PGK2-1","n",5,8,1.325,0.279277519159768,1
"PGK2","PGK2-2","n",4,6,1.222,0.442997452439738,1
"PGK2","PGK2-3","n",6,3,0.718,0.205766794159131,1
"PGK2","PGK2-4","n",9,7,0.907,0.702024919439469,1
"PGK2","PGK2-5","n",7,8,1.02,0.939418037471544,1
"PGK2","PGK2-6","n",5,5,0.917,0.739648922233883,1
"PGK2","PGK2-7","n",6,7,1.061,0.819989442908819,1
"PGK2","PGK2-8","n",4,9,1.485,0.128775834516247,1
"PSKH2","PSKH2-1","n",3,10,1.514,0.092931810692014,1
"PSKH2","PSKH2-2","n",3,8,1.661,0.0525721959650983,1
"PSKH2","PSKH2-3","n",5,7,1.16,0.570475119035403,1
"PSKH2","PSKH2-4","n",15,14,0.943,0.805624673022517,1
"PSKH2","PSKH2-5","n",3,3,1.009,0.971406577195078,1
"PSKH2","PSKH2-6","n",7,9,1.203,0.47565489273451,1
"PSKH2","PSKH2-7","n",8,6,0.894,0.666939083903736,1
"PSKH2","PSKH2-8","n",3,4,1.132,0.627371617741944,1
"TPD52L3","TPD52L3-1","n",6,6,1.073,0.78845502615617,1
"TPD52L3","TPD52L3-2","n",7,7,1.031,0.905669997037444,1
"TPD52L3","TPD52L3-3","n",6,3,0.759,0.291973082596685,1
"TPD52L3","TPD52L3-4","n",9,8,0.987,0.96070743188758,1
"TPD52L3","TPD52L3-5","n",6,6,1.037,0.889213228732713,1
"TPD52L3","TPD52L3-6","n",4,2,0.789,0.321072122516424,1
"TPD52L3","TPD52L3-7","n",5,10,1.503,0.114435664852069,1
"TPD52L3","TPD52L3-8","n",7,7,1.029,0.911443704445879,1
"TSSK1B","TSSK1B-1","n",6,9,1.234,0.416623037814563,1
"TSSK1B","TSSK1B-2","n",6,10,1.327,0.273679751662962,1
"TSSK1B","TSSK1B-3","n",8,12,1.306,0.290580166426454,1
"TSSK1B","TSSK1B-4","n",10,9,0.975,0.920437573125221,1
"TSSK1B","TSSK1B-5","n",4,4,0.968,0.900671352496204,1
"TSSK1B","TSSK1B-6","n",6,5,0.909,0.716994578188288,1
"TSSK1B","TSSK1B-7","n",6,5,0.925,0.766509133769847,1
"TSSK1B","TSSK1B-8","n",7,6,0.942,0.8198488547426,1
"TSSK2","TSSK2-1","n",11,10,0.936,0.789519918969683,1
"TSSK2","TSSK2-2","n",5,4,0.907,0.70724718124212,1
"TSSK2","TSSK2-3","n",8,7,0.943,0.821516793238057,1
"TSSK2","TSSK2-4","n",9,6,0.812,0.415965051042906,1
"TSSK2","TSSK2-5","n",2,3,1.076,0.764127216533717,1
"TSSK2","TSSK2-6","n",8,3,0.672,0.129101200930385,1
"TSSK2","TSSK2-7","n",7,8,1.104,0.706428982946298,1
"TSSK2","TSSK2-8","n",6,9,1.235,0.415030000811439,1
"ACTR2","ACTR2-1","p",5,2,0.711,0.18467713193164,1
"ACTR2","ACTR2-2","p",8,8,0.989,0.966940774734781,1
"ACTR2","ACTR2-3","p",12,4,0.546,0.0205818000331778,1
"ACTR2","ACTR2-4","p",7,3,0.629,0.0769676133341324,1
"ACTR2","ACTR2-5","p",4,2,0.786,0.34112221635022,1
"ACTR2","ACTR2-6","p",4,2,0.85,0.523807498075213,1
"ACTR2","ACTR2-7","p",9,7,0.82,0.440515263235189,1
"ACTR2","ACTR2-8","p",3,1,0.821,0.403722803808638,1
"ATR","ATR-1","p",13,9,0.782,0.320667792923283,1
"ATR","ATR-2","p",3,9,1.696,0.0437472442885382,1
"ATR","ATR-3","p",15,8,0.662,0.0963733267849239,1
"ATR","ATR-4","p",9,8,0.95,0.84304329691443,1
"ATR","ATR-5","p",8,8,0.966,0.892892654707728,1
"ATR","ATR-6","p",7,5,0.858,0.558279944601612,1
"ATR","ATR-7","p",6,8,1.076,0.778012730952409,1
"ATR","ATR-8","p",1,2,1.122,0.566780375040331,1
"AURKB","AURKB-1","p",4,6,1.233,0.423568242176621,1
"AURKB","AURKB-2","p",4,2,0.767,0.269600593599022,1
"AURKB","AURKB-3","p",4,5,1.106,0.695447591629617,1
"AURKB","AURKB-4","p",5,2,0.766,0.301990662386218,1
"AURKB","AURKB-5","p",5,5,0.999,0.997578359517511,1
"AURKB","AURKB-6","p",7,4,0.774,0.327466063581168,1
"AURKB","AURKB-7","p",1,0,0.939,0.573271626679742,1
"AURKB","AURKB-8","p",3,2,0.883,0.597019295386945,1
"BUB1B","BUB1B-1","p",8,7,0.886,0.643542466347118,1
"BUB1B","BUB1B-2","p",2,3,1.019,0.939456770259282,1
"BUB1B","BUB1B-3","p",3,3,1.096,0.72162489472898,1
"BUB1B","BUB1B-4","p",5,5,1.006,0.980777858101124,1
"BUB1B","BUB1B-5","p",4,1,0.746,0.23572282300429,1
"BUB1B","BUB1B-6","p",4,3,0.842,0.505485419617759,1
"BUB1B","BUB1B-7","p",3,3,1.064,0.804827372611524,1
"BUB1B","BUB1B-8","p",5,4,0.928,0.775837661359408,1
"CDK1","CDK1-1","p",3,1,0.775,0.221018232239948,1
"CDK1","CDK1-2","p",2,2,1.039,0.854324878745612,1
"CDK1","CDK1-3","p",0,1,1.039,0.688644311230059,1
"CDK1","CDK1-4","p",5,3,0.77,0.303444851133287,1
"CDK1","CDK1-5","p",4,6,1.272,0.356274205645717,1
"CDK1","CDK1-6","p",4,5,1.136,0.627334076446128,1
"CDK1","CDK1-7","p",8,6,0.804,0.402632423248113,1
"CDK1","CDK1-8","p",6,9,1.239,0.408210865706891,1
"CDK7","CDK7-1","p",3,4,1.012,0.963589539445769,1
"CDK7","CDK7-2","p",6,2,0.686,0.146410581847741,1
"CDK7","CDK7-3","p",7,6,0.897,0.677000951186024,1
"CDK7","CDK7-4","p",5,4,0.942,0.819786840698789,1
"CDK7","CDK7-5","p",6,5,1.003,0.990322641979118,1
"CDK7","CDK7-6","p",9,8,0.927,0.766770597613116,1
"CDK7","CDK7-7","p",2,4,1.135,0.611125689760902,1
"CDK7","CDK7-8","p",2,5,1.445,0.153363879175586,1
"CDK9","CDK9-1","p",6,4,0.796,0.383526647443157,1
"CDK9","CDK9-2","p",4,2,0.806,0.401420590549283,1
"CDK9","CDK9-3","p",2,5,1.345,0.25665634425099,1
"CDK9","CDK9-4","p",1,0,0.979,0.821153092771478,1
"CDK9","CDK9-5","p",4,2,0.852,0.524045827355871,1
"CDK9","CDK9-6","p",8,2,0.56,0.0265115611026482,1
"CDK9","CDK9-7","p",2,4,1.191,0.47183114423789,1
"CDK9","CDK9-8","p",10,6,0.732,0.225490977335079,1
"CHEK1","CHEK1-1","p",6,4,0.828,0.47083284073568,1
"CHEK1","CHEK1-2","p",2,3,1.085,0.716651179101608,1
"CHEK1","CHEK1-3","p",3,2,0.979,0.919859641100202,1
"CHEK1","CHEK1-4","p",3,3,0.959,0.865200265487762,1
"CHEK1","CHEK1-5","p",4,5,0.998,0.993988448980283,1
"CHEK1","CHEK1-6","p",2,5,1.353,0.221985068802883,1
"CHEK1","CHEK1-7","p",7,6,0.908,0.712457993994778,1
"CHEK1","CHEK1-8","p",2,1,0.917,0.570621763033911,1
"CLP1","CLP1-1","p",5,6,1.18,0.52712080655859,1
"CLP1","CLP1-2","p",6,5,0.878,0.618489670365456,1
"CLP1","CLP1-3","p",3,4,1.134,0.627782064132244,1
"CLP1","CLP1-4","p",5,6,1.129,0.644288461862849,1
"CLP1","CLP1-5","p",8,10,1.144,0.596521628479744,1
"CLP1","CLP1-6","p",4,2,0.78,0.275051242451582,1
"CLP1","CLP1-7","p",11,6,0.695,0.160556384683166,1
"CLP1","CLP1-8","p",7,4,0.816,0.437248561595418,1
"CMPK1","CMPK1-1","p",4,8,1.421,0.179652264985466,1
"CMPK1","CMPK1-2","p",5,3,0.861,0.565503817446179,1
"CMPK1","CMPK1-3","p",7,6,0.901,0.689803599103744,1
"CMPK1","CMPK1-4","p",4,5,1.047,0.860098952454746,1
"CMPK1","CMPK1-5","p",1,6,1.817,0.0222361554212081,1
"CMPK1","CMPK1-6","p",3,4,1.201,0.478117425230776,1
"CMPK1","CMPK1-7","p",4,6,1.292,0.327618681547727,1
"CMPK1","CMPK1-8","p",5,8,1.244,0.404103312909605,1
"DOLK","DOLK-1","p",12,6,0.658,0.101918241195134,1
"DOLK","DOLK-2","p",12,14,1.114,0.656641907433494,1
"DOLK","DOLK-3","p",5,9,1.285,0.304061463802969,1
"DOLK","DOLK-4","p",10,8,0.892,0.65442629843953,1
"DOLK","DOLK-5","p",10,5,0.695,0.161513593922954,1
"DOLK","DOLK-6","p",8,8,1.06,0.820384160586361,1
"DOLK","DOLK-7","p",3,5,1.167,0.548232868817565,1
"DOLK","DOLK-8","p",7,10,1.224,0.433614139699196,1
"DTYMK","DTYMK-1","p",8,7,0.897,0.675484801283631,1
"DTYMK","DTYMK-2","p",5,5,1.005,0.983425455244739,1
"DTYMK","DTYMK-3","p",3,4,1.16,0.563416095561824,1
"DTYMK","DTYMK-4","p",5,6,1.105,0.702467560855073,1
"DTYMK","DTYMK-5","p",2,2,1.024,0.904114121621356,1
"DTYMK","DTYMK-6","p",8,7,0.906,0.706229907021928,1
"DTYMK","DTYMK-7","p",5,5,0.958,0.868509575035459,1
"DTYMK","DTYMK-8","p",2,5,1.292,0.31108763045965,1
"GTF2H1","GTF2H1-1","p",8,5,0.805,0.407880948377563,1
"GTF2H1","GTF2H1-2","p",8,9,1.109,0.684710891516925,1
"GTF2H1","GTF2H1-3","p",4,8,1.433,0.168179051499546,1
"GTF2H1","GTF2H1-4","p",7,7,1.05,0.850873014841091,1
"GTF2H1","GTF2H1-5","p",13,7,0.705,0.17449053144537,1
"GTF2H1","GTF2H1-6","p",3,7,1.471,0.139639815755397,1
"GTF2H1","GTF2H1-7","p",9,6,0.74,0.246357657975821,1
"GTF2H1","GTF2H1-8","p",5,4,0.903,0.697130577190651,1
"GUK1","GUK1-1","p",11,7,0.74,0.242960241703484,1
"GUK1","GUK1-2","p",8,5,0.822,0.452656535349478,1
"GUK1","GUK1-3","p",3,1,0.82,0.347329080316069,1
"GUK1","GUK1-4","p",1,0,0.958,0.646323124896768,1
"GUK1","GUK1-5","p",6,6,0.964,0.890171149565853,1
"GUK1","GUK1-6","p",1,3,1.19,0.418940225823383,1
"GUK1","GUK1-7","p",4,2,0.832,0.476683159866678,1
"GUK1","GUK1-8","p",2,2,0.958,0.801529684839424,1
"MASTL","MASTL-1","p",7,4,0.749,0.269886006545743,1
"MASTL","MASTL-2","p",6,7,1.043,0.872569519217508,1
"MASTL","MASTL-3","p",8,6,0.814,0.429840133552294,1
"MASTL","MASTL-4","p",9,8,0.92,0.744965131955506,1
"MASTL","MASTL-5","p",8,5,0.718,0.206070216885354,1
"MASTL","MASTL-6","p",3,3,0.983,0.945958029181888,1
"MASTL","MASTL-7","p",4,3,0.905,0.700675260928958,1
"MASTL","MASTL-8","p",7,3,0.662,0.112445307588598,1
"MVK","MVK-1","p",5,3,0.749,0.263805624418462,1
"MVK","MVK-2","p",5,6,1.058,0.830936409461758,1
"MVK","MVK-3","p",9,12,1.188,0.492220756038907,1
"MVK","MVK-4","p",4,8,1.452,0.154389027315195,1
"MVK","MVK-5","p",13,6,0.637,0.0757477591575143,1
"MVK","MVK-6","p",5,6,1.07,0.794716312821781,1
"MVK","MVK-7","p",8,6,0.887,0.645455998929633,1
"MVK","MVK-8","p",15,10,0.754,0.249933948415493,1
"NOL9","NOL9-1","p",9,3,0.57,0.0317650340182276,1
"NOL9","NOL9-2","p",5,3,0.829,0.474220590399553,1
"NOL9","NOL9-3","p",5,3,0.863,0.572596743485791,1
