Exon,Chr,Start,End,Color,Size
1,2,102731970,102731613,blue,2
1start,2,102731691,102731613,blue,5
2,2,102695791,102695626,blue,5
3,2,102692041,102691905,blue,5
4,2,102686312,102686244,blue,5
5,2,102683581,102683360,blue,5
v1,2,102679127,102679002,red,5
v2,2,102676864,102676748,red,5
v3,2,102675755,102675630,red,5
v4,2,102673294,102673181,red,5
v5,2,102672722,102672606,red,5
v6,2,102669822,102669703,red,5
v7,2,102668283,102668158,red,5
v8,2,102664680,102664579,red,5
v9,2,102662917,102662828,red,5
v10,2,102661881,102661675,red,5
15,2,102658955,102658887,blue,5
16,2,102654677,102654606,blue,5
17,2,102652631,102652553,blue,5
18stop,2,102644682,102644477,blue,5
18,2,102644682,102641486,blue,2
