Exon,Start,End,Color,Size
1,35139171,35139370,blue,2
1start,35139303,35139370,blue,5
2,35176575,35176740,blue,5
3,35180274,35180407,blue,5
4,35186832,35186900,blue,5
5,35189835,35190065,blue,5
v2,35196746,35196874,red,5
v3,35198121,35198246,red,5
v4,35201082,35201195,red,5
v5,35201671,35201787,red,5
v6,35204512,35204640,red,5
v7,35206112,35206243,red,5
v8,35208105,35208206,red,5
v9,35209965,35210054,red,5
v10,35211246,35211449,red,5
15,35214852,35214914,blue,5
16,35219316,35219387,blue,5
17,35221654,35221732,blue,5
18stop,35229129,35229333,blue,5
18,35229129,35232402,blue,2
